Myanmar_block	Unicode_codepoint	Translit
က	1000	ka
ခ	1001	kha
ဂ	1002	ga
ဃ	1003	gha
င	1004	ṅa
စ	1005	ca
ဆ	1006	cha
ဇ	1007	ja
ဈ	1008	jha
ဉ	1009	ña
ည	100A	ñña
ဋ	100B	ṭa
ဌ	100C	ṭha
ဍ	100D	ḍa
ဎ	100E	ḍha
ဏ	100F	ṇa
တ	1010	ta
ထ	1011	tha
ဒ	1012	da
ဓ	1013	dha
န	1014	na
ပ	1015	pa
ဖ	1016	pha
ဗ	1017	ba
ဘ	1018	bha
မ	1019	ma
ယ	101A	ya
ရ	101B	ra
လ	101C	la
ဝ	101D	va
သ	101E	sa
ဟ	101F	ha
ဠ	1020	ḷa
အ	1021	ʔa
ဿ	103F	ssa
ဣ	1023	ʔi
ဤ	1024	ʔī
ဥ	1025	ʔu
ဦ	1026	ʔū
ဧ	1027	ʔe
၌	1028	n*
၍	1029	r*
၎	104E	l*
၏	104F	ʔe*
ဩ	1029	ʔo
ဪ	102A	ʔau
ና	1293	û
ဨ	1028	ʔe
ၐ	1050	śa
ၑ	1051	ṣa
ၒ	1052	r̥
ၓ	1053	r̥̄
ၔ	1054	ḷ
ၕ	1055	ḹ
ၖ	1056	r̥
ၗ	1057	r̥̄
ၘ	1058	ḷ
ၙ	1059	ḹ
ျ	103B	ya
ြ	103C	ra
ွ	103D	va
ှ	103E	ha
ံ	1036	ṃ
ိ	102D	i
ီ	102E	ī
ု	102F	u
ူ	1030	ū
ေ	1031	e
ော	1031+102C	o
ို	102D+102F	ui
ဲ	1032	ai
ါ	102B	ā
ာ	102C	ā
်	103A	ʻ
့	1037	ɂ
း	1038	ḥ
၁	1041	1
၂	1042	2
၃	1043	3
၄	1044	4
၅	1045	5
၆	1046	6
၇	1047	7
၈	1048	8
၉	1049	9
၀	1040	0
၊	104A	|
။	104B	||
ဳ	1033	ī
ဴ	1034	o
ဵ	105A	e
ၚ	105A	ṅa
ၛ	105B	jha
ၜ	105C	ḅa
ၝ	105D	mba
ၞ	105E	na
ၟ	105F	ma
ၠ	1060	la
ᓚ	14DA	~
ఽ	0C3D	~
𝚘	1D698	𝚘
◇	25C7	◇
🌼	1F33C	🌼
๏	0E4F	๏
⸭	2E2D	⸭
჻	10FB	჻
⋮	22EE	⋮
꠱	00BD	½
ᚐ	00BC	¼
φ	03C6	¼
Ⴋ	10AB	¼
Ⴛ	10BB	¼
⫂	00BE	¾
ᖻ	215B	⅛
ᕮ	00B9	¹⁄₁₆
Ꮐ	13C0	¹⁄₃₂
ᑪ	146A	¹⁄₃₂
⇑	21D1	⇑
↥	21A5	↥
➕	2795	…
