acronym	search_term	file_or_folder_name	path_or_redacted_path	file_type	sha256_if_available	match_reason	copied_or_existing_cache_path	extraction_status	notes
RDASB	RDASB	frasch_bagan_epig_database_abbreviations.tsv	data/working/bibliography/local_sources/frasch_bagan_epig_database_abbreviations.tsv	tsv		Contains the candidate expansion 'Report of Director Arch. Survey Burma'.	data/working/bibliography/local_sources/frasch_bagan_epig_database_abbreviations.tsv	existing_cache	Used because the live OBI local roots were unavailable in this shell.
RDASB	RDASB 1938	frasch_extracted_text.txt	data/working/bibliography/local_sources/frasch_extracted_text.txt	txt		Preserves year/page/appendix references such as 'RDASB 1938, p. xi, app. H'.	data/working/bibliography/local_sources/frasch_extracted_text.txt	existing_cache	Supports a report-series interpretation rather than a one-off article.
MP	Mandalay Palace	Bagan Epig Database.doc	data/local/bibliography_sources/bagan_epig_database-c4cfc990741f/Bagan Epig Database.doc	doc	c4cfc990741f133430be72befe492e0dfff950a0eb72e3fd641420fa48cb0187	Targeted extraction found 'Mandalay Palace stone 291' and 'MP stone 507'.	data/local/bibliography_sources/bagan_epig_database-c4cfc990741f/Bagan Epig Database.doc	reused_existing	Strongest local witness tying the shorthand to Mandalay Palace stone identifiers.
MP	MP 1, p.	frasch_extracted_text.txt	data/working/bibliography/local_sources/frasch_extracted_text.txt	txt		Preserves page-style MP citations alongside Mandalay Palace stone references.	data/working/bibliography/local_sources/frasch_extracted_text.txt	existing_cache	Suggests a local card/list or notebook locator layered over the same collection.
OR	British Library Oriental Mss Sect	frasch_extracted_text.txt	data/working/bibliography/local_sources/frasch_extracted_text.txt	txt		Contains 'British Library Oriental Mss Sect-ion OR 3434' and nearby Or. shelfmark references.	data/working/bibliography/local_sources/frasch_extracted_text.txt	existing_cache	Best local evidence for OR as a manuscript shelfmark system.
Luce J	Luce notes	Luce_collection.doc	data/local/bibliography_sources/luce_collection-b951e346a053/Luce_collection.doc	doc	b951e346a053548d39ee01a07962e9a6259247fe69dcda4cca5a0ddc4406dc7b	Local Luce collection witness describes Luce notebook and card-index material.	data/local/bibliography_sources/luce_collection-b951e346a053/Luce_collection.doc	reused_existing	General local support for private Luce note/index systems.
Luce J	Luce J 2507	frasch_extracted_text.txt	data/working/bibliography/local_sources/frasch_extracted_text.txt	txt		Preserves numbered Luce J citations such as 'Luce J 2507', 'Luce J2509', and 'Luce J 2689'.	data/working/bibliography/local_sources/frasch_extracted_text.txt	existing_cache	The citation pattern fits a notebook or card-index system, not a journal title.
Luce D	Luce notes	Luce_collection.doc	data/local/bibliography_sources/luce_collection-b951e346a053/Luce_collection.doc	doc	b951e346a053548d39ee01a07962e9a6259247fe69dcda4cca5a0ddc4406dc7b	Local Luce collection witness describes postwar notebooks and rebuilt card indexing.	data/local/bibliography_sources/luce_collection-b951e346a053/Luce_collection.doc	reused_existing	General local support for private Luce note/index systems.
Luce D	Luce D 825	frasch_extracted_text.txt	data/working/bibliography/local_sources/frasch_extracted_text.txt	txt		Preserves numbered Luce D citations such as 'Luce D 825' and 'Luce D 835'.	data/working/bibliography/local_sources/frasch_extracted_text.txt	existing_cache	Matches a notebook-entry interpretation better than a published title.
IPPA	IPPA-159	OBI_Vol1_No4__ob_p11.txt	4321314/OBI_Corpus_Vol1.zip::OBI_Corpus_Vol1/OBI_Vol1_No4__ob_p11.txt	structured_txt_in_zip		Representative raw-source reference line contains both IPPA-159 and PPA, p. 159.	data/release/corpus_release_v0_3/inscriptions.jsonl	existing_cache	Direct corpus evidence that IPPA and PPA are linked within the same source record.
IPPA	Inscriptions of Pagan, Pinya and Ava	frasch_extracted_text.txt	data/working/bibliography/local_sources/frasch_extracted_text.txt	txt		Frasch abbreviation list explicitly defines PPA as Inscriptions of Pagan, Pinya and Ava, but omits IPPA.	data/working/bibliography/local_sources/frasch_extracted_text.txt	existing_cache	Supports routing IPPA to the same underlying PPA work without inventing a separate expansion.
