query	matched_file_id	matched_file_label	match_location	short_context_before	match_text	short_context_after	evidence_type	supports_alias_of_ppa	supports_distinct_expansion	supports_typo	confidence	notes
IPPA-209							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-209, 211							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-203							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-207							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-159							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-162							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-192							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-141							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-143							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA 139							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-165							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-151							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-153, 154							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-166							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-18							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-20							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-167							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-109, 111							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-168							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-57							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
IPPA-169							negative_search	false	false	false	low	No exact hit in the searched local extracted-text cache under data/local/ocr_text, data/local/bibliography_sources, or data/working/bibliography/local_sources.
