occurrence_id	record_id	source_deposit	source_layer	source_volume	source_inscription_number	title_original	raw_reference_string	full_references_original	neighboring_reference_before	neighboring_reference_after	parsed_locator	line_or_record_context	notes
ippa-occ-0001	obi-v01-n0001-tx-p0001	zenodo_4321314	structured_obi	1	1	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	IPPA-209	IPPA-209; List 52; IOB4-364/b; EB Vol.1, n°1 BED B 474-1; Pl. IV 364a+b; OBI 1, p. 1 and OBI1,p.4; UEM no. 3, p. 3; EB 1 (1), 1919, p. 1; List 51+52; TN, p. 97; Ray, Theravada Buddhism, p. 106; Anthology 5, p. 81; Blagden, JRAS 1909, p. 10; U Pe Maung Tin, The Myazedi Inscription, in Nava-rat Kui:-svay, Rangoon 1966, p. 23-33; U Tha Myat, The Pali Version of the Myazedi Inscription, Rangoon 1958; U Tin Lwin, Rajakumar's Inscription in Pali, in Takkasuil ... (repr. Yangon 1989); The Myazedi Inscription in Four Languages, ed. by the Cultural Institute, Rangoon 1960, Harvey, History of Myanmar, p. 43-44		List 52	209	references_original on text face/page 1; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0002	obi-v01-n0001-tx-p0002	zenodo_4321314	structured_obi	1	1	မြစေတီဘုရား ကျောက်စာ ပါဠိ (ရာဇကုမာရကျောက်စာ)	IPPA-209, 211	IPPA-209, 211; List-52; IOB4-361/b; EB Vol.1, n°1		List-52	209, 211	references_original on text face/page 2; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0003	obi-v01-n0002-tx-p0004	zenodo_4321314	structured_obi	1	2	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	IPPA-203	IPPA-203; List-51; IOB4-364/a; EB Vol.1 n°1 BED B 474-1; Pl. IV 364a+b; OBI 1, p. 4 and OBI1,p.1; UEM no. 3, p. 3; EB 1 (1), 1919, p. 1; List 51+52; TN, p. 97; Ray, Theravada Buddhism, p. 106; Anthology 5, p. 81; Blagden, JRAS 1909, p. 10; U Pe Maung Tin, The Myazedi Inscription, in Nava-rat Kui:-svay, Rangoon 1966, p. 23-33; U Tha Myat, The Pali Version of the Myazedi Inscription, Rangoon 1958; U Tin Lwin, Rajakumar's Inscription in Pali, in Takkasuil ... (repr. Yangon 1989); The Myazedi Inscription in Four Languages, ed. by the Cultural Institute, Rangoon 1960, Harvey, History of Myanmar, p. 43-44		List-51	203	references_original on text face/page 4; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0004	obi-v01-n0002-tx-p0006	zenodo_4321314	structured_obi	1	2	မြစေတီကျောက်စာ ပါဠိ။ (ရာဇကုမာရကျောက်စာ)	IPPA-207	IPPA-207; List-51; IOB4-361/a; EB Vol.1, n°1		List-51	207	references_original on text face/page 6; locator_type=number	No explicit PPA citation survives on this record or its sibling records; classification relies on the wider IPPA/PPA occurrence pattern.
ippa-occ-0005	obi-v01-n0004-ob-p0011	zenodo_4321314	structured_obi	1	4	ရွှေဂူကြီးဘုရားကျောက်စာ	IPPA-159	IPPA-159; List-66/a; IOB1-1 BED B 493-1; Pl. I 1+2; OBI 1, p. 11; List 66 a+b; PPA, p. 159; TN, p. 73; Luce/U Pe Maung Tin, JBRS 10 (2), 1920, p. 67-74 (and corrected date in JBRS 22 (3), 1932, p. 151), Luce/U Pe Maung Tin, BBHC 1 (1), 1960, p. 1-28; Ray, Theravada Buddhism, p. 108; OR 3475, no. 18		List-66/a	159	references_original on obverse face/page 11; locator_type=number	Same record also cites PPA, p. 159.
ippa-occ-0006	obi-v01-n0004-re-p0015	zenodo_4321314	structured_obi	1	4	ရွှေဂူကြီးဘုရားကျောက်စာ	IPPA-162	IPPA-162; List-66/b; IOB1-2		List-66/b	162	references_original on reverse face/page 15; locator_type=number	Companion face/page in the same inscription cluster cites PPA, p. 159.
ippa-occ-0007	obi-v01-n0007-ob-p0022	zenodo_4321314	structured_obi	1	7	ငနွယ်သင်ကျောက်စာ	IPPA-192	IPPA-192; List-1251; IOB1-59 BED B 561-1 & B 509-2; Pl. I 59; OBI 1, p. 22; List 1251; PPA, p. 192; TN, p. 92		List-1251	192	references_original on obverse face/page 22; locator_type=number	Same record also cites PPA, p. 192.
ippa-occ-0008	obi-v01-n0012-ob-p0029	zenodo_4321314	structured_obi	1	12	အထောလတ်ကျောက်စာ	IPPA-141	IPPA-141; List-81/a; IOB1-4 BED B 527-1; Pl. I 4-5; OBI 1, p. 29; SIP no. 8, p. 13; UEM no. 5, p. 9; List 81a+b; PPA, p. 141-2; TN, p. 66; Luce/ U Pe Maung Tin, BBHC 1 (2); 1960, p. 241		List-81/a	141	references_original on obverse face/page 29; locator_type=number	Same record also cites PPA, p. 141-2.
ippa-occ-0009	obi-v01-n0012-re-p0030	zenodo_4321314	structured_obi	1	12	အထောလတ်ကျောက်စာ	IPPA-143	IPPA-143; List-81/b; IOB1-5; IOB1-47		List-81/b	143	references_original on reverse face/page 30; locator_type=number	Companion face/page in the same inscription cluster cites PPA, p. 141-2.
ippa-occ-0010	obi-v01-n0021-ob-p0042	zenodo_4321314	structured_obi	1	21	တိုင်းချွတ်ဘုရားကျောက်စာ	IPPA 139	IPPA 139; List 105; IOB1-6 BED B 541-1; Pl. I 6; OBI 1, p. 42; UEM no. 6 p. 11; List 105; PPA, p. 139; TN, p. 65; Luce/U Pe Maung Tin, BBHC 3, 1963, p. 62; Harvey, History, p. 331; Anthology 5, p. 82; U Min Hswe, no. 21		List 105	139	references_original on obverse face/page 42; locator_type=number	Same record also cites PPA, p. 139.
