record_id	title_original	references_original	other_sources_cited	IPPA_locator	parallel_OBI_or_List_or_PPA_reference	likely_source_relationship	review_decision	confidence	notes
obi-v01-n0001-tx-p0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	IPPA-209; List 52; IOB4-364/b; EB Vol.1, n°1 BED B 474-1; Pl. IV 364a+b; OBI 1, p. 1 and OBI1,p.4; UEM no. 3, p. 3; EB 1 (1), 1919, p. 1; List 51+52; TN, p. 97; Ray, Theravada Buddhism, p. 106; Anthology 5, p. 81; Blagden, JRAS 1909, p. 10; U Pe Maung Tin, The Myazedi Inscription, in Nava-rat Kui:-svay, Rangoon 1966, p. 23-33; U Tha Myat, The Pali Version of the Myazedi Inscription, Rangoon 1958; U Tin Lwin, Rajakumar's Inscription in Pali, in Takkasuil ... (repr. Yangon 1989); The Myazedi Inscription in Four Languages, ed. by the Cultural Institute, Rangoon 1960, Harvey, History of Myanmar, p. 43-44	List 52 | IOB4-364/b | EB Vol.1, n°1 BED B 474-1 | Pl. IV 364a+b | OBI 1, p. 1 and OBI1,p.4 | UEM no. 3, p. 3 | EB 1 (1), 1919, p. 1 | List 51+52	209	List 52 | Pl. IV 364a+b | OBI 1, p. 1 and OBI1,p.4 | UEM no. 3, p. 3 | List 51+52 | TN, p. 97	IPPA behaves like the PPA family but survives here without an explicit PPA companion citation.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0001-tx-p0002	မြစေတီဘုရား ကျောက်စာ ပါဠိ (ရာဇကုမာရကျောက်စာ)	IPPA-209, 211; List-52; IOB4-361/b; EB Vol.1, n°1	List-52 | IOB4-361/b | EB Vol.1, n°1	209, 211	List-52	IPPA behaves like the PPA family but survives here without an explicit PPA companion citation.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0002-tx-p0004	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	IPPA-203; List-51; IOB4-364/a; EB Vol.1 n°1 BED B 474-1; Pl. IV 364a+b; OBI 1, p. 4 and OBI1,p.1; UEM no. 3, p. 3; EB 1 (1), 1919, p. 1; List 51+52; TN, p. 97; Ray, Theravada Buddhism, p. 106; Anthology 5, p. 81; Blagden, JRAS 1909, p. 10; U Pe Maung Tin, The Myazedi Inscription, in Nava-rat Kui:-svay, Rangoon 1966, p. 23-33; U Tha Myat, The Pali Version of the Myazedi Inscription, Rangoon 1958; U Tin Lwin, Rajakumar's Inscription in Pali, in Takkasuil ... (repr. Yangon 1989); The Myazedi Inscription in Four Languages, ed. by the Cultural Institute, Rangoon 1960, Harvey, History of Myanmar, p. 43-44	List-51 | IOB4-364/a | EB Vol.1 n°1 BED B 474-1 | Pl. IV 364a+b | OBI 1, p. 4 and OBI1,p.1 | UEM no. 3, p. 3 | EB 1 (1), 1919, p. 1 | List 51+52	203	List-51 | Pl. IV 364a+b | OBI 1, p. 4 and OBI1,p.1 | UEM no. 3, p. 3 | List 51+52 | TN, p. 97	IPPA behaves like the PPA family but survives here without an explicit PPA companion citation.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0002-tx-p0006	မြစေတီကျောက်စာ ပါဠိ။ (ရာဇကုမာရကျောက်စာ)	IPPA-207; List-51; IOB4-361/a; EB Vol.1, n°1	List-51 | IOB4-361/a | EB Vol.1, n°1	207	List-51	IPPA behaves like the PPA family but survives here without an explicit PPA companion citation.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0004-ob-p0011	ရွှေဂူကြီးဘုရားကျောက်စာ	IPPA-159; List-66/a; IOB1-1 BED B 493-1; Pl. I 1+2; OBI 1, p. 11; List 66 a+b; PPA, p. 159; TN, p. 73; Luce/U Pe Maung Tin, JBRS 10 (2), 1920, p. 67-74 (and corrected date in JBRS 22 (3), 1932, p. 151), Luce/U Pe Maung Tin, BBHC 1 (1), 1960, p. 1-28; Ray, Theravada Buddhism, p. 108; OR 3475, no. 18	List-66/a | IOB1-1 BED B 493-1 | Pl. I 1+2 | OBI 1, p. 11 | List 66 a+b | PPA, p. 159 | TN, p. 73 | Luce/U Pe Maung Tin, JBRS 10 (2), 1920, p. 67-74 (and corrected date in JBRS 22 (3), 1932, p. 151), Luce/U Pe Maung Tin, BBHC 1 (1), 1960, p. 1-28	159	List-66/a | Pl. I 1+2 | OBI 1, p. 11 | List 66 a+b | PPA, p. 159 | TN, p. 73	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0004-re-p0015	ရွှေဂူကြီးဘုရားကျောက်စာ	IPPA-162; List-66/b; IOB1-2	List-66/b | IOB1-2	162	List-66/b	IPPA is paired with explicit PPA on a companion face/page in the same inscription cluster.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0007-ob-p0022	ငနွယ်သင်ကျောက်စာ	IPPA-192; List-1251; IOB1-59 BED B 561-1 & B 509-2; Pl. I 59; OBI 1, p. 22; List 1251; PPA, p. 192; TN, p. 92	List-1251 | IOB1-59 BED B 561-1 & B 509-2 | Pl. I 59 | OBI 1, p. 22 | List 1251 | PPA, p. 192 | TN, p. 92	192	List-1251 | Pl. I 59 | OBI 1, p. 22 | List 1251 | PPA, p. 192 | TN, p. 92	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0012-ob-p0029	အထောလတ်ကျောက်စာ	IPPA-141; List-81/a; IOB1-4 BED B 527-1; Pl. I 4-5; OBI 1, p. 29; SIP no. 8, p. 13; UEM no. 5, p. 9; List 81a+b; PPA, p. 141-2; TN, p. 66; Luce/ U Pe Maung Tin, BBHC 1 (2); 1960, p. 241	List-81/a | IOB1-4 BED B 527-1 | Pl. I 4-5 | OBI 1, p. 29 | SIP no. 8, p. 13 | UEM no. 5, p. 9 | List 81a+b | PPA, p. 141-2	141	List-81/a | Pl. I 4-5 | OBI 1, p. 29 | UEM no. 5, p. 9 | List 81a+b | PPA, p. 141-2	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0012-re-p0030	အထောလတ်ကျောက်စာ	IPPA-143; List-81/b; IOB1-5; IOB1-47	List-81/b | IOB1-5 | IOB1-47	143	List-81/b	IPPA is paired with explicit PPA on a companion face/page in the same inscription cluster.	alias_or_variant_of_PPA	medium	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
obi-v01-n0021-ob-p0042	တိုင်းချွတ်ဘုရားကျောက်စာ	IPPA 139; List 105; IOB1-6 BED B 541-1; Pl. I 6; OBI 1, p. 42; UEM no. 6 p. 11; List 105; PPA, p. 139; TN, p. 65; Luce/U Pe Maung Tin, BBHC 3, 1963, p. 62; Harvey, History, p. 331; Anthology 5, p. 82; U Min Hswe, no. 21	List 105 | IOB1-6 BED B 541-1 | Pl. I 6 | OBI 1, p. 42 | UEM no. 6 p. 11 | List 105 | PPA, p. 139 | TN, p. 65	139	List 105 | Pl. I 6 | OBI 1, p. 42 | UEM no. 6 p. 11 | List 105 | PPA, p. 139	IPPA is paired with explicit PPA on the same record.	alias_or_variant_of_PPA	high	Raw IPPA strings are preserved, but the underlying source work is treated as the PPA family.
