citation_target_id	normalized_source_key	source_abbreviation	normalized_author	normalized_title	normalized_year	normalized_volume_issue	normalized_page_or_plate	source_type	likely_contains_translation	likely_contains_source_text	likely_contains_edition_only	likely_contains_commentary_only	language_scope_expected	target_priority	notes
corpus-citation-target-0001	annualReportsArchaeologicalSurveyIndia	ARASI		Annual Reports of the Archaeological Survey of India	1921	19a | 34, p. 190 | 37, p. 114 | 37, p. 115 | 37, p. 116 | 7, p. 114		article	false	false	false	true	unknown	low	7 corpus citation rows
corpus-citation-target-0002	anthology		Anthology 5	p. 81		1, p. 39 | 5, p. 81 | 5, p. 82 | 5, p. 84 | 5, p. 85		article	false	false	false	true	mixed_or_uncertain	low	6 corpus citation rows
corpus-citation-target-0003	britishLibraryOrientalManuscripts	OR		British Library Oriental manuscripts		3434 (gā: verso) | 3434 fol. ghā verso (with further dates) | 3475, no. 18 | 3475, no. 4 | 3475, no. 5 | 3475, no. 6 (with date CS 581/1219) | 6452 B (1), no. 1 | 6452 B (1), no. 31 | 6452 B (1), no. 32 | 6452 B (1), nos. 22 and 26		unclear	false	false	false	true	unknown	low	21 corpus citation rows
corpus-citation-target-0004	bulletinBurmaHistoricalCommission	BBHC		Bulletin of the Burma Historical Commission	1960	1960, p. 231-7 | 1963, p. 118 | 1963, p. 62 | 1963, p. 65 | 1963, p. 69 | 1963, p. 72 | 1963, p. 74 | 1963, p. 80 | 1963, p. 88 | 1963, p. 91 | 1963, p. 96 | Luce/ U Pe Maung Tin, BBHC 1 (2)		article	false	false	false	true	unknown	low	13 corpus citation rows
corpus-citation-target-0005	duroiselle1921list	List	Charles Duroiselle	List of Inscriptions Found in Burma	1921	1014 | 102 | 1043-1044 | 105 | 106 | 1071 | 108 | 109-110 | 111 | 113 | 116 | 120 | 121 | 122 | 123/a | 123/b | 123a +b | 1248-555 | 125 | 1251 | 1252 | 1254 | 1255 | 128 | 129 | 129 BED B 554-4 | 1294 | 1296 | 1297 | 1299/a | 1299/b | 1299a | 129a+b | 130 | 1323 | 1324 | 1332 | 1334/a | 1334/b | 1336 | 134 | 1347 | 135 | 1353 (acc. to IB) | 1354 | 1356 | 136 | 1366 BED B 600-7 | 1368 | 1388a+b | 1391 | 1399 | 1400 | 1437 | 144 | 145/a | 145/b | 145/c | 146 | 146 BED B 559-6 & B 556-5 | 1499 | 151 | 151 BED B 560-6 | 152 | 153 | 154/a | 154/b | 154a+b | 155 | 156-157 | 157, 156 BED B 562-5 | 159 | 160/a | 160/b | 160a+b | 161 | 163 | 163 BED B 562-2 | 165 | 165-27 BED B 566-2 | 168 a+b | 168/a | 168a+b | 169/a & IOB1-30/a & BED A | 169/a & IOB1-30/a & BED B 619-1 | 169a | 169b | 171 | 172 | 173 | 174/a | 174/b | 174a+b | 175 | 176 | 179 | 180 and 1403 | 182 | 182 BED B 573-1 | 182 BED B 579-2 | 183 | 185 | 185, | 186 | 189 | 190 | 191 | 192 | 193 | 194 | 195 | 196 | 197 | 198 | 199 | 201 | 201 BED B 598-10 | 202 | 203 | 204 | 205 | 206 | 206/List 220 | 208 | 209 | 210 | 211 | 213 | 214 | 215 | 216 | 217 | 218 | 219 | 220 | 221 | 222 | 223 | 224 | 226 | 227 | 228 | 229 | 23 | 23, 27 BED B 420-2 | 230 | 231 | 232 | 233 | 233, | 235/a | 235/b | 235a+b | 236/a | 236/b | 236a+b | 237 | 238 | 24 | 24, | 241 | 242 | 243 | 244 | 245 | 246 | 247 | 248 | 248 BED B 600-1 | 249 | 253 | 254 | 254, | 255 | 256 | 257 | 258 | 258 (rev.) | 259 | 260 | 260-261 | 261 | 262 | 262-263 | 263, | 264/a | 264/b | 264a | 266/a | 266/b | 267 | 269 | 27 | 270 | 270a+b | 271 | 271a+b | 272 | 273(a) | 273(b) | 273/a | 273/b | 274 | 276/a | 276/b | 278/a | 278/b | 278b (?) | 280 | 281 | 282 | 283 | 284 | 285 | 285, | 286 | 287 | 288 | 289 | 290 | 291 | 292 | 293 & 1352 | 295 | 296 | 30 | 30 BED B 447-1 | 302 | 303 a+b | 303/a | 303/b | 305 | 306 | 306/a | 306/b | 307/a | 307/b | 307a+b | 308 | 309 | 31 | 310 | 311 | 313, | 314/a | 314/b | 314a+b | 32 | 32 BED B 562-4 | 322 | 323 | 325 | 326 | 327 | 328 | 329 | 330 | 331 | 332/a | 332/b | 332b | 333 | 334 | 335 | 335, | 339 | 340 | 342 | 343 | 344/a | 344/b | 344a | 345 | 346 | 346/a BED B 429-1 | 349 | 350 | 351 | 352 | 353 | 353/b | 354/a | 354/b | 355 | 357/a & 358/a | 357/b & 358/b | 359 | 362 | 363/b | 363b | 364 | 365 | 368 | 368, | 368/a | 369 | 370 | 373/a | 374 | 376 | 378/a | 378/b | 378/c | 378/d | 379 | 380/b | 380b | 383/a | 384/b | 386 | 387 | 389 | 391 | 392/a | 392/b | 393 | 394 | 396 | 397 | 400/a/a | 404/a | 404/b | 405 | 406 | 407 | 408 | 409/a | 409/b | 410/a | 410/b | 411 | 412 | 417 | 418 | 422 | 428 | 431 | 434 | 435 | 437 | 438 | 443, 437 | 448 BED B 622-6 | 451 | 452 | 457 | 458 | 46 | 46/a BED B 467-1 | 464 | 465/a | 465a | 467 | 477 | 478 | 479 | 48 | 48 BED B 468-1 | 480 | 482 | 483 | 486 | 487 | 488 | 489 | 49 | 49 BED B 469-1 | 490 | 492 | 493 | 494 | 497 | 498, | 499 | 50 a+b | 50/a BED B 472-1 | 503, | 504/b | 506 | 507 | 51 | 51+52 | 512 | 515 | 516 | 516, | 517/a, | 517/b, | 52 | 523, | 524/a | 524/b | 525/a--468/a | 530 | 532/a | 533 | 535 | 535/b | 536/b | 538 | 550 | 56 | 563 & 1436 | 564/a | 564/b | 565/b, | 569 | 585 | 598 | 599 | 622 | 633/a | 634/a | 634/b | 634/c | 634/d | 638 | 66 a+b | 66/a | 66/b | 67/a | 67/b | 67b | 701/a | 701/b | 710 | 72 | 722 | 73 | 73 BED B 513-3 | 748 | 75 | 761 | 772 | 78 | 80 | 804 | 81/a | 81/b | 81a+b | 821 | 875 | 876 | 890 | 90 | 91 | 91 BED B 534-2 | 92/a | 92/b | 92a | 92b | 939 | 943 | 944 | 958 | 963 | 97 | 97 BED B 547-2 | 982, | <xx> | ? | ??? | copy List 106 | copy List 114 | copy List 150 | copy List 163 (162?) | copy List 221 | copy List 316-317 | copy List 347 | copy List 402 | copy List 427 | copy List 486 | copy List 5 | copy List 918		catalogue	false	true	true	false	mixed_or_uncertain	medium	838 corpus citation rows
corpus-citation-target-0006	epigraphiaBirmanica	EB		Epigraphia Birmanica	1919	1919, p. 1 | EB Vol.1 n°1 BED B 474-1 | EB Vol.1, n°1 | EB Vol.1, n°1 BED B 474-1		corpus_volume	false	true	true	false	Mixed Burmese/Pali	medium	6 corpus citation rows
corpus-citation-target-0007	fam-raw-12			12		12		unclear	false	false	false	true	unknown	low	1 corpus citation rows
corpus-citation-target-0008	fam-raw-17			17		17		unclear	false	false	false	true	unknown	low	1 corpus citation rows
corpus-citation-target-0009	fam-raw-184-bed-b-614-2			-184 BED B 614-2		-184 BED B 614-2		unclear	false	false	false	true	unknown	low	1 corpus citation rows
corpus-citation-target-0010	fam-raw-1936-37-4003-1938-39-4080		-1936-37/ 4003	1938-39/ 4080	1936	1936		unclear	false	false	false	true	unknown	low	1 corpus citation rows
