iob_plate	iob_plate_normalized	iob_page	list_ref	ppa_ref	tn_ref	sip_ref	ub_ref	jbrs_ref	other_ref	place_or_object_description	linked_inscription_id	linked_corpus_record_id	link_confidence	link_basis	needs_manual_review	notes
Plate I	I	6	List 66 a	PPA 159-161	TN 73-76			JBRS X 67-74		Stone set in the wall of the Shwegugyi, Pagan (Stone A)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate II	II	6	List 66 b	PPA 162-164	TN 76-79					Ditto (Stone B)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate III	III	6	List 72							A. Now at the Patodawgyi, Amarapura (Stone 14)	obi-v01-n0010	obi-v01-n0010-ob-p0026	high	Exact structured corpus plate citation resolved to OCRed Plate III.	false	Linked through exact corpus plate citation(s): Pl. I 3.
Plate IV	IV	6	List 81 a	PPA 141-142	TN 66	SIP 13-15				Pillar in the north porch of the Dhammayangyi, Pagan (South face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate V	V	6	List 81 b	PPA 143-144	TN 66-67	SIP 15-16				Ditto (North face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate VI	VI	6	List 105	PPA 139 140	TN 65-66					From within the porch of the Tainggyut pagoda, outside the Tapala (? Tharabha) gate to the east of Pagan. Now at Pagan Museum (Stone 57 West face)	obi-v01-n0021	obi-v01-n0021-ob-p0042	high	Exact structured corpus plate citation resolved to OCRed Plate VI.	false	Linked through exact corpus plate citation(s): Pl. I 6.
Plate VII	VII	6	List 106						B II 768)	(cf.,. From the Minochantha north pagoda, Pagan. Now at Pagan Muscum (Stone 11)	obi-v01-n0022	obi-v01-n0022-ob-p0043	high	Exact structured corpus plate citation resolved to OCRed Plate VII.	false	Linked through exact corpus plate citation(s): Pl. I 7.
Plate VIII a	VIIIa	6	List 08						A 34	Now at the Patodawgyi, Amarapura (Stone 21)	obi-v01-n0023	obi-v01-n0023-ob-p0044	high	Exact structured corpus plate citation resolved to OCRed Plate VIII a.	false	Linked through exact corpus plate citation(s): Pl. I 8a.
Plate VIII b	VIIIb	6								Now at Pagan Museum (Stone 55)	obi-v01-n0024	obi-v01-n0024-ob-p0045	high	Exact structured corpus plate citation resolved to OCRed Plate VIII b.	false	Linked through exact corpus plate citation(s): Pl. I 8b.
Plate IX a	IXa	6								Now at the Patodawgyi, Amarapura (Stone 291 North face)	obi-v01-n0033	obi-v01-n0033-ob-p0056	high	Exact structured corpus plate citation resolved to OCRed Plate IX a.	false	Linked through exact corpus plate citation(s): Pl. I 9a.
Plate IX b	IXb	6								Ditto (South face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate X a	Xa	6	List 123a	PPA 151-152	TN 70	SIP 19-20		JBRS VI 88-90		From the South Guni pagoda, about 300 ft. south of the Dhammayangyi, Pagan. Now at Pagan Museum (Stone 54 East face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate X b	Xb	6	List 123 b	PPA 153-154	TN 70-71	SIP 21				Ditto (West face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XI	XI	6	List 125						A 36	From the Pandaw Shwegyaung, Pindalè. Now at the Patodawgyi, Amarapura (Stone 58 North face)	obi-v01-n0031	obi-v01-n0031-ob-p0054	high	Exact structured corpus plate citation resolved to OCRed Plate XI.	false	Linked through exact corpus plate citation(s): Pl. I 11.
Plate XII	XII	6	List 80							UB I 287. In the Tatkale pagoda, Minnanthu	obi-v01-n0032	obi-v01-n0032-ob-p0055	high	Exact structured corpus plate citation resolved to OCRed Plate XII.	false	Linked through exact corpus plate citation(s): Pl. I 12.
Plate XIII	XIII	6	List 120	PPA 165	TN 79					From the east side of the enclosure of the Shinbinbodhi pagoda, Pagan. Now at Pagan Museum (Stone 12 East face)	obi-v01-n0027	obi-v01-n0027-ob-p0048	high	Exact structured corpus plate citation resolved to OCRed Plate XIII.	false	Linked through exact corpus plate citation(s): Pl. I 13.
Plate XIV	XIV	6	List 144								obi-v01-n0034	obi-v01-n0034-re-p0056	high	Exact structured corpus plate citation resolved to OCRed Plate XIV.	false	Linked through exact corpus plate citation(s): Pl. I 14.
Plate XV	XV	6	List 145	PPA 166 | PPA 18-19	TN 8o | TN 6					Pagan (East face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XVI	XVI	6	List 145 b	PPA 20	TN 6					Ditto (West face). In the west porch of the Thatemokku pagoda, Shwezigon, Ditto (West face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XVII	XVII	6								Now at Pagan Museum (Stone 52 East face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XVIII	XVIII	6								Ditto (West face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XIX a	XIXa	6	List 154 a							Plate XIX a, b.. UB I 257-258, 259. Fragments of the stone inscription in the east cella of the Dhammayazika pagoda, W. Pwazaw, Pagan (Obverse)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XX a	XXa	6	List 154 b				UBI 258-259			Plate XX a, b... Ditto (Reverse)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XXI	XXI	6	List 152						A 42	Now at the Patodawgyi, Amarapura (Stone 22)	obi-v01-n0042	obi-v01-n0042-ob-p0069	high	Exact structured corpus plate citation resolved to OCRed Plate XXI.	false	Linked through exact corpus plate citation(s): Pl. I 21.
Plate XXII	XXII	6	List 160 a							UB II 259. At the Sudaungbyi (Pato Paya) cast of Thadun-e village, Mahlaing (North face)	obi-v01-n0044	obi-v01-n0044-ob-p0071	high	Exact structured corpus plate citation resolved to OCRed Plate XXII.	false	Linked through exact corpus plate citation(s): Pl. I 22.
Plate XXIII	XXIII	7	List 160 b							UB II 260. Ditto (South face)			medium		true	English index-of-plates entry extracted from the OCRed volume.
Plate XXIV	XXIV	7	List 161			SIP 25-26, UB 1 174				From the Thambyin Yingaung pagoda, north of the Mingalazedi, Pagan. Now at Pagan Museum (Stone 54)	obi-v01-n0045	obi-v01-n0045-ob-p0073	high	Exact structured corpus plate citation resolved to OCRed Plate XXIV.	false	Linked through exact corpus plate citation(s): Pl. I 24.
Plate XXV	XXV	7	List 1299a								obi-v02-n0080	obi-v02-n0080-re-p0165	high	Exact structured corpus plate citation resolved to OCRed Plate XXV.	false	Linked through exact corpus plate citation(s): Pl. I 25.
