local_file_id	path_stub_or_redacted_path	file_name	extension	file_size_bytes	modified_date	probable_author_from_path	probable_title_from_filename	probable_year_from_filename	probable_volume_issue_from_filename	folder_context	is_probable_jbrs	manifest_confidence	needs_manual_review	notes
011015-7d1a32a2d131	Burmese/Burma JBRS/1911/011015.pdf	011015.pdf	pdf	914857						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011031-642d82a624e9	Burmese/Burma JBRS/1911/011031.pdf	011031.pdf	pdf	218967						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011035-4201ec00447e	Burmese/Burma JBRS/1911/011035.pdf	011035.pdf	pdf	326085						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011041-2bc89eb3a71a	Burmese/Burma JBRS/1911/011041.pdf	011041.pdf	pdf	910242						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011065-b0659f6c2c42	Burmese/Burma JBRS/1911/011065.pdf	011065.pdf	pdf	220320						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011070-30aadc4fc3e7	Burmese/Burma JBRS/1911/011070.pdf	011070.pdf	pdf	216117						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011075-3890ed8b77e2	Burmese/Burma JBRS/1911/011075.pdf	011075.pdf	pdf	420286						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011083-66f23b6e0a42	Burmese/Burma JBRS/1911/011083.pdf	011083.pdf	pdf	158905						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011087-4e3220d05a64	Burmese/Burma JBRS/1911/011087.pdf	011087.pdf	pdf	287118						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011092-763ce641b5ae	Burmese/Burma JBRS/1911/011092.pdf	011092.pdf	pdf	244364						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011096-e06a26f51f14	Burmese/Burma JBRS/1911/011096.pdf	011096.pdf	pdf	83162						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011098-dfc0debb3b75	Burmese/Burma JBRS/1911/011098.pdf	011098.pdf	pdf	64887						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011099-e396af76a9cb	Burmese/Burma JBRS/1911/011099.pdf	011099.pdf	pdf	200330						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011103-250b2aeefb9c	Burmese/Burma JBRS/1911/011103.pdf	011103.pdf	pdf	316021						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011107-718d5525913f	Burmese/Burma JBRS/1911/011107.pdf	011107.pdf	pdf	99695						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011109-0929ec670e31	Burmese/Burma JBRS/1911/011109.pdf	011109.pdf	pdf	51737						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011109a-c8814bf030c2	Burmese/Burma JBRS/1911/011109A.pdf	011109A.pdf	pdf	35683						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011112-62c1e0363d56	Burmese/Burma JBRS/1911/011112.pdf	011112.pdf	pdf	77089						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011113-d7410a638dd9	Burmese/Burma JBRS/1911/011113.pdf	011113.pdf	pdf	259353						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011117-611db3ad2cfd	Burmese/Burma JBRS/1911/011117.pdf	011117.pdf	pdf	164282						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011119-654ca2fff409	Burmese/Burma JBRS/1911/011119.pdf	011119.pdf	pdf	184837						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011122-4e6b720936e2	Burmese/Burma JBRS/1911/011122.pdf	011122.pdf	pdf	628272						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011131-b5499d8eb174	Burmese/Burma JBRS/1911/011131.pdf	011131.pdf	pdf	398303						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011136-412a30c7d37d	Burmese/Burma JBRS/1911/011136.pdf	011136.pdf	pdf	249584						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011140-7af3f6378d78	Burmese/Burma JBRS/1911/011140.pdf	011140.pdf	pdf	103804						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011142-d4d21dbff26b	Burmese/Burma JBRS/1911/011142.pdf	011142.pdf	pdf	82588						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011143-7092f25827c4	Burmese/Burma JBRS/1911/011143.pdf	011143.pdf	pdf	35490						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011143a-c9c2b99ef0b4	Burmese/Burma JBRS/1911/011143A.pdf	011143A.pdf	pdf	96828						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011145-982b38c4fa0c	Burmese/Burma JBRS/1911/011145.pdf	011145.pdf	pdf	114062						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011146-ef2e1f313359	Burmese/Burma JBRS/1911/011146.pdf	011146.pdf	pdf	60274						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011147-52f8d443ab25	Burmese/Burma JBRS/1911/011147.pdf	011147.pdf	pdf	32104						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011148-a406d1fa6b84	Burmese/Burma JBRS/1911/011148.pdf	011148.pdf	pdf	29662						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011148a-832f13c4787e	Burmese/Burma JBRS/1911/011148A.pdf	011148A.pdf	pdf	63717						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011149-8d9beb4249cd	Burmese/Burma JBRS/1911/011149.pdf	011149.pdf	pdf	47290						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011152-63a0b8d47367	Burmese/Burma JBRS/1911/011152.pdf	011152.pdf	pdf	205479						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011155-4cd07852bd9f	Burmese/Burma JBRS/1911/011155.pdf	011155.pdf	pdf	71100						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
011156-0d22485e8ffa	Burmese/Burma JBRS/1911/011156.pdf	011156.pdf	pdf	82462						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012001-e1a50613e050	Burmese/Burma JBRS/JBRS Originals/012001.pdf	012001.pdf	pdf	684670						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012006-930b21185c80	Burmese/Burma JBRS/JBRS Originals/012006.pdf	012006.pdf	pdf	214329						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012010-1c487d302c75	Burmese/Burma JBRS/JBRS Originals/012010.pdf	012010.pdf	pdf	446970						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012017-60b46a6c0292	Burmese/Burma JBRS/JBRS Originals/012017.pdf	012017.pdf	pdf	395509						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012024-d52548e46bd2	Burmese/Burma JBRS/JBRS Originals/012024.pdf	012024.pdf	pdf	85397						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012026-4513001c02e8	Burmese/Burma JBRS/JBRS Originals/012026.pdf	012026.pdf	pdf	97390						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012028-a5365fa04ee8	Burmese/Burma JBRS/JBRS Originals/012028.pdf	012028.pdf	pdf	202518						JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
012032-07c032db1507	Burmese/Burma JBRS/JBRS Originals/012032.pdf	012032.pdf	pdf	267335						1911 | JBRS Originals	true	medium	true	Supplemented from existing redacted local_file_manifest.tsv entry.
