batch_id	local_file_id	file_name	path_stub	volume	issue	year	page_count_estimate	runtime_path_available	ocr_priority	ocr_priority_reason	ocr_scope	ocr_engine	output_basename	expected_output_format	metadata_sidecar_path	status	blocked_by	notes
jbrs-ocr-0001	011015-7d1a32a2d131	011015.pdf	Burmese/Burma JBRS/1911/011015.pdf			1911		false	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011015-7d1a32a2d131-011015	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011015-7d1a32a2d131-011015.json	needs_runtime_path_cache	Run build_jbrs_local_manifest.py with --root ... --write-runtime-path-cache to resolve a live source path.	OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0002	011031-642d82a624e9	011031.pdf	Burmese/Burma JBRS/1911/011031.pdf			1911		false	medium	Has author/title metadata that makes targeted OCR more useful than generic bulk OCR.	article_pages_only	google_vision	011031-642d82a624e9-011031	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011031-642d82a624e9-011031.json	needs_runtime_path_cache	Run build_jbrs_local_manifest.py with --root ... --write-runtime-path-cache to resolve a live source path.	OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0003	011035-4201ec00447e	011035.pdf	Burmese/Burma JBRS/1911/011035.pdf			1911		false	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011035-4201ec00447e-011035	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011035-4201ec00447e-011035.json	needs_runtime_path_cache	Run build_jbrs_local_manifest.py with --root ... --write-runtime-path-cache to resolve a live source path.	OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0004	011041-2bc89eb3a71a	011041.pdf	Burmese/Burma JBRS/1911/011041.pdf			1911		false	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011041-2bc89eb3a71a-011041	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011041-2bc89eb3a71a-011041.json	needs_runtime_path_cache	Run build_jbrs_local_manifest.py with --root ... --write-runtime-path-cache to resolve a live source path.	OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0005	011065-b0659f6c2c42	011065.pdf	Burmese/Burma JBRS/1911/011065.pdf			1911		false	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011065-b0659f6c2c42-011065	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011065-b0659f6c2c42-011065.json	needs_runtime_path_cache	Run build_jbrs_local_manifest.py with --root ... --write-runtime-path-cache to resolve a live source path.	OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0006	011070-30aadc4fc3e7	011070.pdf	Burmese/Burma JBRS/1911/011070.pdf			1911		false	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011070-30aadc4fc3e7-011070	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011070-30aadc4fc3e7-011070.json	needs_runtime_path_cache	Run build_jbrs_local_manifest.py with --root ... --write-runtime-path-cache to resolve a live source path.	OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0007	011075-3890ed8b77e2	011075.pdf	Burmese/Burma JBRS/1911/011075.pdf			1911		false	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011075-3890ed8b77e2-011075	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011075-3890ed8b77e2-011075.json	needs_runtime_path_cache	Run build_jbrs_local_manifest.py with --root ... --write-runtime-path-cache to resolve a live source path.	OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0008	011083-66f23b6e0a42	011083.pdf	Burmese/Burma JBRS/1911/011083.pdf			1911		false	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011083-66f23b6e0a42-011083	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011083-66f23b6e0a42-011083.json	needs_runtime_path_cache	Run build_jbrs_local_manifest.py with --root ... --write-runtime-path-cache to resolve a live source path.	OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0009	011087-4e3220d05a64	011087.pdf	Burmese/Burma JBRS/1911/011087.pdf			1911		false	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011087-4e3220d05a64-011087	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011087-4e3220d05a64-011087.json	needs_runtime_path_cache	Run build_jbrs_local_manifest.py with --root ... --write-runtime-path-cache to resolve a live source path.	OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0010	011092-763ce641b5ae	011092.pdf	Burmese/Burma JBRS/1911/011092.pdf			1911		false	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011092-763ce641b5ae-011092	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011092-763ce641b5ae-011092.json	needs_runtime_path_cache	Run build_jbrs_local_manifest.py with --root ... --write-runtime-path-cache to resolve a live source path.	OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0011	011096-e06a26f51f14	011096.pdf	Burmese/Burma JBRS/1911/011096.pdf			1911		false	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011096-e06a26f51f14-011096	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011096-e06a26f51f14-011096.json	needs_runtime_path_cache	Run build_jbrs_local_manifest.py with --root ... --write-runtime-path-cache to resolve a live source path.	OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0012	011098-dfc0debb3b75	011098.pdf	Burmese/Burma JBRS/1911/011098.pdf			1911		false	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011098-dfc0debb3b75-011098	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011098-dfc0debb3b75-011098.json	needs_runtime_path_cache	Run build_jbrs_local_manifest.py with --root ... --write-runtime-path-cache to resolve a live source path.	OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0013	011099-e396af76a9cb	011099.pdf	Burmese/Burma JBRS/1911/011099.pdf			1911		false	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011099-e396af76a9cb-011099	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011099-e396af76a9cb-011099.json	needs_runtime_path_cache	Run build_jbrs_local_manifest.py with --root ... --write-runtime-path-cache to resolve a live source path.	OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0014	011103-250b2aeefb9c	011103.pdf	Burmese/Burma JBRS/1911/011103.pdf			1911		false	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011103-250b2aeefb9c-011103	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011103-250b2aeefb9c-011103.json	needs_runtime_path_cache	Run build_jbrs_local_manifest.py with --root ... --write-runtime-path-cache to resolve a live source path.	OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0015	011107-718d5525913f	011107.pdf	Burmese/Burma JBRS/1911/011107.pdf			1911		false	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011107-718d5525913f-011107	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011107-718d5525913f-011107.json	needs_runtime_path_cache	Run build_jbrs_local_manifest.py with --root ... --write-runtime-path-cache to resolve a live source path.	OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
jbrs-ocr-0016	011109-0929ec670e31	011109.pdf	Burmese/Burma JBRS/1911/011109.pdf			1911		false	low	Generic probable JBRS file; OCR priority remains low until a target or author clue is confirmed.	article_pages_only	google_vision	011109-0929ec670e31-011109	google_vision_json|page_text|article_text|metadata_sidecar	data_local/ocr/jbrs/manifest/011109-0929ec670e31-011109.json	needs_runtime_path_cache	Run build_jbrs_local_manifest.py with --root ... --write-runtime-path-cache to resolve a live source path.	OCR plan uses runtime-path availability plus article-target matching, not probable-JBRS status alone.
