ocr_job_id	batch_id	local_file_id	file_name	ocr_engine	ocr_scope	status	pages_submitted	pages_completed	output_path_stub	metadata_sidecar_stub	error_type	error_message_short	created_at	updated_at	notes
jbrs-ocr-0001-status	jbrs-ocr-0001	011015-7d1a32a2d131	011015.pdf	google_vision	article_pages_only	ready_for_ocr							2026-05-31T18:48:39.704725+00:00	2026-05-31T18:48:39.704725+00:00	
jbrs-ocr-0002-status	jbrs-ocr-0002	011031-642d82a624e9	011031.pdf	google_vision	article_pages_only	ready_for_ocr							2026-05-31T18:48:39.704725+00:00	2026-05-31T18:48:39.704725+00:00	
jbrs-ocr-0003-status	jbrs-ocr-0003	011035-4201ec00447e	011035.pdf	google_vision	article_pages_only	ready_for_ocr							2026-05-31T18:48:39.704725+00:00	2026-05-31T18:48:39.704725+00:00	
jbrs-ocr-0004-status	jbrs-ocr-0004	011041-2bc89eb3a71a	011041.pdf	google_vision	article_pages_only	ready_for_ocr							2026-05-31T18:48:39.704725+00:00	2026-05-31T18:48:39.704725+00:00	
jbrs-ocr-0005-status	jbrs-ocr-0005	011065-b0659f6c2c42	011065.pdf	google_vision	article_pages_only	ready_for_ocr							2026-05-31T18:48:39.704725+00:00	2026-05-31T18:48:39.704725+00:00	
jbrs-ocr-0006-status	jbrs-ocr-0006	011070-30aadc4fc3e7	011070.pdf	google_vision	article_pages_only	ready_for_ocr							2026-05-31T18:48:39.704725+00:00	2026-05-31T18:48:39.704725+00:00	
jbrs-ocr-0007-status	jbrs-ocr-0007	011075-3890ed8b77e2	011075.pdf	google_vision	article_pages_only	ready_for_ocr							2026-05-31T18:48:39.704725+00:00	2026-05-31T18:48:39.704725+00:00	
jbrs-ocr-0008-status	jbrs-ocr-0008	011083-66f23b6e0a42	011083.pdf	google_vision	article_pages_only	ready_for_ocr							2026-05-31T18:48:39.704725+00:00	2026-05-31T18:48:39.704725+00:00	
jbrs-ocr-0009-status	jbrs-ocr-0009	011087-4e3220d05a64	011087.pdf	google_vision	article_pages_only	ready_for_ocr							2026-05-31T18:48:39.704725+00:00	2026-05-31T18:48:39.704725+00:00	
jbrs-ocr-0010-status	jbrs-ocr-0010	011092-763ce641b5ae	011092.pdf	google_vision	article_pages_only	ready_for_ocr							2026-05-31T18:48:39.704725+00:00	2026-05-31T18:48:39.704725+00:00	
jbrs-ocr-0011-status	jbrs-ocr-0011	011096-e06a26f51f14	011096.pdf	google_vision	article_pages_only	ready_for_ocr							2026-05-31T18:48:39.704725+00:00	2026-05-31T18:48:39.704725+00:00	
jbrs-ocr-0012-status	jbrs-ocr-0012	011098-dfc0debb3b75	011098.pdf	google_vision	article_pages_only	ready_for_ocr							2026-05-31T18:48:39.704725+00:00	2026-05-31T18:48:39.704725+00:00	
jbrs-ocr-0013-status	jbrs-ocr-0013	011099-e396af76a9cb	011099.pdf	google_vision	article_pages_only	ready_for_ocr							2026-05-31T18:48:39.704725+00:00	2026-05-31T18:48:39.704725+00:00	
jbrs-ocr-0014-status	jbrs-ocr-0014	011103-250b2aeefb9c	011103.pdf	google_vision	article_pages_only	ready_for_ocr							2026-05-31T18:48:39.704725+00:00	2026-05-31T18:48:39.704725+00:00	
jbrs-ocr-0015-status	jbrs-ocr-0015	011107-718d5525913f	011107.pdf	google_vision	article_pages_only	ready_for_ocr							2026-05-31T18:48:39.704725+00:00	2026-05-31T18:48:39.704725+00:00	
jbrs-ocr-0016-status	jbrs-ocr-0016	011109-0929ec670e31	011109.pdf	google_vision	article_pages_only	ready_for_ocr							2026-05-31T18:48:39.704725+00:00	2026-05-31T18:48:39.704725+00:00	
jbrs-ocr-0017-status	jbrs-ocr-0017	011109a-c8814bf030c2	011109A.pdf	google_vision	article_pages_only	ready_for_ocr							2026-05-31T18:48:39.704725+00:00	2026-05-31T18:48:39.704725+00:00	
jbrs-ocr-0018-status	jbrs-ocr-0018	011112-62c1e0363d56	011112.pdf	google_vision	article_pages_only	ready_for_ocr							2026-05-31T18:48:39.704725+00:00	2026-05-31T18:48:39.704725+00:00	
jbrs-ocr-0019-status	jbrs-ocr-0019	011113-d7410a638dd9	011113.pdf	google_vision	article_pages_only	ready_for_ocr							2026-05-31T18:48:39.704725+00:00	2026-05-31T18:48:39.704725+00:00	
jbrs-ocr-0020-status	jbrs-ocr-0020	011117-611db3ad2cfd	011117.pdf	google_vision	article_pages_only	ready_for_ocr							2026-05-31T18:48:39.704725+00:00	2026-05-31T18:48:39.704725+00:00	
jbrs-ocr-0021-status	jbrs-ocr-0021	011119-654ca2fff409	011119.pdf	google_vision	article_pages_only	ready_for_ocr							2026-05-31T18:48:39.704725+00:00	2026-05-31T18:48:39.704725+00:00	
jbrs-ocr-0022-status	jbrs-ocr-0022	011122-4e6b720936e2	011122.pdf	google_vision	article_pages_only	ready_for_ocr							2026-05-31T18:48:39.704725+00:00	2026-05-31T18:48:39.704725+00:00	
jbrs-ocr-0023-status	jbrs-ocr-0023	011131-b5499d8eb174	011131.pdf	google_vision	article_pages_only	ready_for_ocr							2026-05-31T18:48:39.704725+00:00	2026-05-31T18:48:39.704725+00:00	
