candidate_rank	local_file_id	batch_id	file_name	year	ocr_text_path	language_scope_guess	burmese_relevance_guess	translation_hit_count	text_hit_count	inscription_hit_count	strongest_markers	sample_pages	reason_for_priority	recommended_next_action	notes
1	1963-paliburmesenissaya-tinlwin1963-pdf	jbrs-ocr-1479	PaliBurmeseNissaya-TinLwin1963.pdf	1963	data/working/ocr/jbrs/text/1963-paliburmesenissaya-tinlwin1963-pdf.txt	Mixed Burmese/Pali	mixed_burmese_pali_relevance	8	3	1	translation x5, translated x3, pali text x2, inscription x1	page 3, page 6, page 2	Mixed Burmese/Pali; 8 translation hits; 1 inscription hits; 3 text hits	queue_for_structured_extraction_review	top_20_priority
2	1938-siamburma-inburmese1938-pdf	jbrs-ocr-1254	SiamBurma_inBurmese1938.pdf	1938	data/working/ocr/jbrs/text/1938-siamburma-inburmese1938-pdf.txt	Burmese	direct_burmese_relevance	6	1	0	translation x6, text. x1	page 4, page 1, page 28	Burmese; 6 translation hits; 1 text hits	queue_for_structured_extraction_review	top_20_priority
3	1976-anandainscriptions-tinlwin1976-pdf	jbrs-ocr-1594	AnandaInscriptions-Tinlwin1976.pdf	1976	data/working/ocr/jbrs/text/1976-anandainscriptions-tinlwin1976-pdf.txt	Mixed Burmese/Pali	mixed_burmese_pali_relevance	6	0	13	inscription x8, inscriptions x5, translation x4, translated x2	page 3, page 1, page 5	Mixed Burmese/Pali; 6 translation hits; 13 inscription hits	queue_for_structured_extraction_review	top_20_priority
4	1932-burmadebttopagan-luce1932-pdf	jbrs-ocr-1161	BurmaDebtToPagan-Luce1932.pdf	1932	data/working/ocr/jbrs/text/1932-burmadebttopagan-luce1932-pdf.txt	Burmese	direct_burmese_relevance	5	1	14	inscription x6, inscriptions x5, text and translation x2, translation x2	page 3, page 4, page 6	Burmese; 5 translation hits; 14 inscription hits; 1 text hits; corpus-citation priority	queue_for_structured_extraction_review	citation_priority=high; top_20_priority
5	1911-grantbrown-1911-burmesesongs-pdf	jbrs-ocr-0695	GrantBrown-1911-BurmeseSongs.pdf	1911	data/working/ocr/jbrs/text/1911-grantbrown-1911-burmesesongs-pdf.txt	Burmese	direct_burmese_relevance	5	1	0	translation x5, text. x1	page 1, page 2, page 3	Burmese; 5 translation hits; 1 text hits	queue_for_structured_extraction_review	top_20_priority
6	1970-burmesehistoryarticles-thantun1970-pdf	jbrs-ocr-1569	BurmeseHistoryArticles-ThanTun1970.pdf	1970	data/working/ocr/jbrs/text/1970-burmesehistoryarticles-thantun1970-pdf.txt	Burmese	direct_burmese_relevance	5	0	9	translation x4, inscription x4, inscriptions x4, pagan inscription x1	page 4, page 6, page 13	Burmese; 5 translation hits; 9 inscription hits	queue_for_structured_extraction_review	top_20_priority
7	1948-centuryofprogress-luce1948-pdf	jbrs-ocr-1306	CenturyOfProgress_Luce1948.pdf	1948	data/working/ocr/jbrs/text/1948-centuryofprogress-luce1948-pdf.txt	Burmese	direct_burmese_relevance	4	2	31	inscription x13, inscriptions x12, translation x3, burmese inscription x3	page 14, page 10, page 11	Burmese; 4 translation hits; 31 inscription hits; 2 text hits	queue_for_structured_extraction_review	top_20_priority
8	1955-warswithburmese1-damrong1956-pdf	jbrs-ocr-1364	WarsWithBurmese1-Damrong1956.pdf	1955	data/working/ocr/jbrs/text/1955-warswithburmese1-damrong1956-pdf.txt	Burmese	direct_burmese_relevance	4	1	2	translation x4, text. x1, inscription x1, inscriptions x1	page 2, page 1, page 3	Burmese; 4 translation hits; 2 inscription hits; 1 text hits	queue_for_structured_extraction_review	top_20_priority
9	1967-burmesecalendar-lupewin1967-pdf	jbrs-ocr-1538	BurmeseCalendar-LuPeWin1967.pdf	1967	data/working/ocr/jbrs/text/1967-burmesecalendar-lupewin1967-pdf.txt	Burmese	direct_burmese_relevance	4	0	13	inscription x7, inscriptions x5, translated x2, translation x1	page 5, page 17, page 2	Burmese; 4 translation hits; 13 inscription hits	queue_for_structured_extraction_review	top_20_priority
10	1920-authors-bathein1920-inburmese-pdf	jbrs-ocr-0887	Authors_BaThein1920-inBurmese.pdf	1920	data/working/ocr/jbrs/text/1920-authors-bathein1920-inburmese-pdf.txt	Burmese	direct_burmese_relevance	3	0	1	translated x2, translation x1, inscription x1	page 1, page 10, page 16	Burmese; 3 translation hits; 1 inscription hits	queue_for_structured_extraction_review	top_20_priority
