ref_id	raw_reference	author	year	title	publication	pages	publisher	place	confidence	notes
frasch-ref-00093	Luce, Old Burma 1, p. 46: Frasch, “Coastal Peripheries”, p. 60	Luce		Old Burma 1, p. 46: Frasch, “Coastal Peripheries”, p. 60		46			medium	
frasch-ref-00138	U Than Tun, Supplementary Note to the Legal System in Bagan, Myanmar Law Teachers' Journal 1 (2), 1959, p. 184	U Than Tun	1959	Supplementary Note to the Legal System in Bagan, Myanmar Law Teachers' Journal 1 (2), 1959, p. 184		184			high	
frasch-ref-00164	U Hswai, JBRS 48 (2), 1965, p. 67, no. 9	U Hswai	1965	JBRS 48 (2), 1965, p. 67, no. 9	Journal of the Burma Research Society	67			high	
frasch-ref-00187	U Than Tun, Hnaung-dwe, no. 34, p. 108	U Than Tun		Hnaung-dwe, no. 34, p. 108		108			medium	
frasch-ref-00188	U Hswai, JBRS 48 (2), 1965, p. 67, no. 11	U Hswai	1965	JBRS 48 (2), 1965, p. 67, no. 11	Journal of the Burma Research Society	67			high	
frasch-ref-00189	U Than Tun, Hnaung-dwe, no. 38, p. 124	U Than Tun		Hnaung-dwe, no. 38, p. 124		124			medium	
frasch-ref-00333	Duroiselle, ARASI 1912, p. 149-51 (Hle- daung inscr.)	Duroiselle	1912	ARASI 1912, p. 149-51 (Hle- daung inscr.)	Annual Report of the Archaeological Survey of India	149-51			high	
frasch-ref-00340	Ray, Theravada Buddhism, p. 106	Ray		Theravada Buddhism, p. 106		106			medium	
frasch-ref-00342	Blagden, JRAS 1909, p. 10	Blagden	1909	JRAS 1909, p. 10	Journal of the Royal Asiatic Society	10			high	
frasch-ref-00343	U Pe Maung Tin, The Myazedi Inscription, in Nava-rat Kui:-svay, Rangoon 1966, p. 23-33	U Pe Maung Tin	1966	The Myazedi Inscription, in Nava-rat Kui:-svay, Rangoon 1966, p. 23-33		23-33			high	
frasch-ref-00344	U Tha Myat, The Pali Ver- sion of the Myazedi Inscription, Rangoon 1958	U Tha Myat	1958	The Pali Ver- sion of the Myazedi Inscription					high	
frasch-ref-00345	U Tin Lwin, Rajakumar's Inscription in Pali, in Takkasuil ... (repr. Yangon 1989)	U Tin Lwin	1989	Rajakumar's Inscription in Pali, in Takkasuil ... (repr. Yangon 1989)					high	
frasch-ref-00387	U Min Hswe, no. cc	U Min Hswe		no. cc					medium	
frasch-ref-00395	Ray, Theravada Buddhism, p. 108	Ray		Theravada Buddhism, p. 108		108			medium	
frasch-ref-00408	Luce, OBEP, p. 115	Luce		OBEP, p. 115		115			medium	
frasch-ref-00409	U Min Hswe, no. 25	U Min Hswe		no. 25					medium	
frasch-ref-00427	Than Tun, Hnaung-dwe, no. 1, p. 1	Than Tun		Hnaung-dwe, no. 1, p. 1		1			medium	
frasch-ref-00456	U Than Tun, Nhaung-dwe, no. 2, p. 4	U Than Tun		Nhaung-dwe, no. 2, p. 4		4			medium	
frasch-ref-00462	Than Tun, Hnaung-dwe, no. 2, p. 4	Than Tun		Hnaung-dwe, no. 2, p. 4		4			medium	
frasch-ref-00466	U Than Tun, Hnaung-dwe, no. 36, p. 121	U Than Tun		Hnaung-dwe, no. 36, p. 121		121			medium	
frasch-ref-00497	U Than Tun, Hnaung-dwe, no. 18, p. 53	U Than Tun		Hnaung-dwe, no. 18, p. 53		53			medium	
frasch-ref-00527	U Nyein Maung, She-haung … Pancama-twe Nauk-hset-twe, p. 1	U Nyein Maung		She-haung … Pancama-twe Nauk-hset-twe, p. 1		1			medium	
frasch-ref-00533	Than Tun, Hnaung-dwe, no. 3, p. 6	Than Tun		Hnaung-dwe, no. 3, p. 6		6			medium	
frasch-ref-00535	U Than Tun, Hnaung-dwe, no. 5, p. 10	U Than Tun		Hnaung-dwe, no. 5, p. 10		10			medium	
frasch-ref-00554	Luce, OBEP, p. 109	Luce		OBEP, p. 109		109			medium	
frasch-ref-00555	Frasch, Pa- gan, p. 102-103	Frasch		Pa- gan, p. 102-103		102-103			medium	
frasch-ref-00565	U Kyaw, “Bagan Minsa”, p. 192	U Kyaw		“Bagan Minsa”, p. 192		192			medium	
frasch-ref-00583	Harvey, History, p. 331	Harvey		History, p. 331		331			medium	
frasch-ref-00585	U Min Hswe, no. 21	U Min Hswe		no. 21					medium	
frasch-ref-00609	Than Tun, Hnaung-dwe, no. 5, p. 12	Than Tun		Hnaung-dwe, no. 5, p. 12		12			medium	
frasch-ref-00647	U Min Hswe, no. 28	U Min Hswe		no. 28					medium	
frasch-ref-00650	U Hswai, JBRS 48 (2), 1965, p. 67, no. 1	U Hswai	1965	JBRS 48 (2), 1965, p. 67, no. 1	Journal of the Burma Research Society	67			high	
frasch-ref-00658	U Tin Lwin, Saddanīti, p. 125 (re- fering to the Mahādvāranikāya-sāsanāvaṁ- sa-dīpanī)	U Tin Lwin		Saddanīti, p. 125 (re- fering to the Mahādvāranikāya-sāsanāvaṁ- sa-dīpanī)		125			medium	
frasch-ref-00675	Duroiselle, JBRS 6.2, 1916, p. 88	Duroiselle	1916	JBRS 6.2, 1916, p. 88	Journal of the Burma Research Society	88			high	
frasch-ref-00678	U Min Hswe, no. 20	U Min Hswe		no. 20					medium	
frasch-ref-00707	U Hswai, JBRS 48 (2), 1965, p. 67, no. 3	U Hswai	1965	JBRS 48 (2), 1965, p. 67, no. 3	Journal of the Burma Research Society	67			high	
frasch-ref-00710	U Maung Maung Lat, nos. 1+2	U Maung Maung Lat		nos. 1+2					medium	
frasch-ref-00711	U Hswai, JBRS 48 (2), 1965, p. 67, no. 2	U Hswai	1965	JBRS 48 (2), 1965, p. 67, no. 2	Journal of the Burma Research Society	67			high	
frasch-ref-00739	Luce, Old Burma, p. 388	Luce		Old Burma, p. 388		388			medium	
frasch-ref-00762	U Hswai, JBRS 48 (2), 1965, p. 67, no. 4	U Hswai	1965	JBRS 48 (2), 1965, p. 67, no. 4	Journal of the Burma Research Society	67			high	
frasch-ref-00794	U Min Hswe, no. 66	U Min Hswe		no. 66					medium	
frasch-ref-00800	U Min Hswe, no. 78	U Min Hswe		no. 78					medium	
frasch-ref-00823	U Tin Htway, “First Burmese Royal Inscription”	U Tin Htway		“First Burmese Royal Inscription”					medium	
frasch-ref-00825	U Kyaw, Bagan Minsa, p. 187	U Kyaw		Bagan Minsa, p. 187		187			medium	
frasch-ref-00829	Harvey, History of Burma, p. 332	Harvey		History of Burma, p. 332		332			medium	
frasch-ref-00837	Luce, Prayers, JBRS 1936, p. 135	Luce	1936	Prayers	Journal of the Burma Research Society	135			high	
frasch-ref-00838	U Than Tun, JBRS 1978, p. 15	U Than Tun	1978	JBRS 1978, p. 15	Journal of the Burma Research Society	15			high	
frasch-ref-00839	Ray, Theravada Bud- dhism, p. 165	Ray		Theravada Bud- dhism, p. 165		165			medium	
frasch-ref-00856	Than Tun, Hnaung-dwe, no. 25, p. 74	Than Tun		Hnaung-dwe, no. 25, p. 74		74			medium	
frasch-ref-00857	U Min Hswe, no. 56	U Min Hswe		no. 56					medium	
frasch-ref-00898	U Min Hswe, no. 67	U Min Hswe		no. 67					medium	
frasch-ref-00916	Pichard, IMP 3, no. 698	Pichard		IMP 3, no. 698					medium	
frasch-ref-00922	Than Tun, Hnaung-dwe, no. 6, p. 14	Than Tun		Hnaung-dwe, no. 6, p. 14		14			medium	
