candidate_id	acronym	candidate_expansion	raw_context	source_file_id	source_file_label	page_or_location	evidence_type	confidence	notes
frasch_1994_dhammasats-3b10d0daddfc:a:frasch-context1	A		[[page 1]] Harvard Depository ILLiad TN: 3523571 ILLiad TN: 3523571 Date: 7/19/2010 Borrower: HLS Lending String: HUL Barcode: HN8W1A Patron: Graduate: Nathan Hill Journal Title: Tradition and modernity in Myanmar proceedings of an international conference held in Berlin from May 7th to May 9th, 1993/Uta Gärtner and Jens Lorenz (eds.). Volume: pt.1 Is	frasch_1994_dhammasats-3b10d0daddfc	Frasch 1994 dhammasats.pdf	context hit 1	contextual_usage	low	
frasch_1994_dhammasats-3b10d0daddfc:a:frasch-context2	A		ings of an international conference held in Berlin from May 7th to May 9th, 1993/Uta Gärtner and Jens Lorenz (eds.). Volume: pt.1 Issue: Month/Year: 1994Pages: 45-55 Call #: WID HD DS528.5 .T74 1994 Deliver By: Shipping Address: Harvard College Library Interlibrary Loan Widener Library Room G-30 Main College Yard Cambridge, MA 02138-1994 Fax: 617-495-2129 Ariel: 140.247.124.160 Odyssey: 206.107.43.109 Article Author: Frasch, Tilmsn Artic	frasch_1994_dhammasats-3b10d0daddfc	Frasch 1994 dhammasats.pdf	context hit 2	contextual_usage	low	
frasch_1994_dhammasats-3b10d0daddfc:b:frasch-context1	B		[[page 1]] Harvard Depository ILLiad TN: 3523571 ILLiad TN: 3523571 Date: 7/19/2010 Borrower: HLS Lending String: HUL Barcode: HN8W1A Patron: Graduate: Nathan Hill Journal Title: Tradition and modernity in Myanmar proceedings of an international conference held in Berlin from May 7th to May 9th, 1993/Uta	frasch_1994_dhammasats-3b10d0daddfc	Frasch 1994 dhammasats.pdf	context hit 1	contextual_usage	low	
frasch_1994_dhammasats-3b10d0daddfc:b:frasch-context2	B		[[page 1]] Harvard Depository ILLiad TN: 3523571 ILLiad TN: 3523571 Date: 7/19/2010 Borrower: HLS Lending String: HUL Barcode: HN8W1A Patron: Graduate: Nathan Hill Journal Title: Tradition and modernity in Myanmar proceedings of an international conference held in Berlin from May 7th to May 9th, 1993/Uta Gärtner and Jens Lorenz (eds.). V	frasch_1994_dhammasats-3b10d0daddfc	Frasch 1994 dhammasats.pdf	context hit 2	contextual_usage	low	
frasch_1994_dhammasats-3b10d0daddfc:eb:frasch-context1	EB		dhammasats with special reference to the Pagan period Imprint: Via Scan and Deliver Service ILL Number: 3523125 [[page 2]] 44 YESAKYOO PAKKOKUD SALIN Aung-Thwin, Principles of the Precolonial Burmese State MU VALLEY SIWEBOO KYAUK MYAUNG OBHAMO KATHA D ALON TONPLUN KHARUIN MYIN MUD MANDALAY DSAGAING AVAQ MYUTIIA KYAUKSE KHARUIN MYINGYAN YAUKSE DNATHOGY ONYAUNGU OPAGAN MT. POPA MAHLAING CHLAINGDET SINBYUKYUN MEIKTILA YAMETHIN REGION YAMETH	frasch_1994_dhammasats-3b10d0daddfc	Frasch 1994 dhammasats.pdf	context hit 1	contextual_usage	low	
frasch_1994_dhammasats-3b10d0daddfc:list:frasch-context1	List		"ation to Dhammavilāsa (A.D. 1211). In 1218, the same persons made a donation to the ""royal teacher"", whose brother-in-law lived in Lower Burma. Pl. 63-OBI 1, p. 129, II. 13-14. PL.II 174 OBI 1, p. 104-UEM No. 59, p. 170-List 219. A full translation will be found in the appendix. The meaning here is not clear. tai means ""backside, back part"", so my translation ""knees, lap"" is somewhat generous. The second sentence means word by word: ""It was"	frasch_1994_dhammasats-3b10d0daddfc	Frasch 1994 dhammasats.pdf	context hit 1	contextual_usage	low	
frasch_1994_dhammasats-3b10d0daddfc:list:frasch-context2	List		"186 ff.; Lieberman, Secular Trends in Burmese Economic History. In: Modern Asian Studies, 25:1/1991, p. 7. Manukyay-dhammasat VI. 11 (p. 162 in Richardson's edition). Appendix Pl. II 174-OBI 2, p. 104-UEM No. 59, p. 170-List 219 B.E. 590 A.D. 1228 and B.E. 594 = A.D. 1232 1) B.E. 590, Phlaguin-Year, month Kuchun, 5th day waning, Wednesday. The son of Phi Yon, Nā Nay, said at the court: ""My father's elder brother gave to my father. My father"	frasch_1994_dhammasats-3b10d0daddfc	Frasch 1994 dhammasats.pdf	context hit 2	contextual_usage	low	
frasch_1994_dhammasats-3b10d0daddfc:obi:frasch-context1	OBI		"mmacheti, A.D. 1476. In: Indian Antiquary, 22/1893, p. 32. Later Burmese chronicles followed this account: UKL 1. p. 255, and GPC, pp. 143-6.1 6 PI.V 568d, 1.5 (a votive tablet found near Rangoon). 7 9 868 10 In Pl.I 34=OBI 1, p. 93, 1.3, we find Natonmya together with his mother and his sister making a donation to Dhammavilāsa (A.D. 1211). In 1218, the same persons made a donation to the ""royal teacher"", whose brother-in-law lived in Lowe"	frasch_1994_dhammasats-3b10d0daddfc	Frasch 1994 dhammasats.pdf	context hit 1	contextual_usage	low	
frasch_1994_dhammasats-3b10d0daddfc:obi:frasch-context2	OBI		"we find Natonmya together with his mother and his sister making a donation to Dhammavilāsa (A.D. 1211). In 1218, the same persons made a donation to the ""royal teacher"", whose brother-in-law lived in Lower Burma. Pl. 63-OBI 1, p. 129, II. 13-14. PL.II 174 OBI 1, p. 104-UEM No. 59, p. 170-List 219. A full translation will be found in the appendix. The meaning here is not clear. tai means ""backside, back part"", so my translation ""knees, lap"""	frasch_1994_dhammasats-3b10d0daddfc	Frasch 1994 dhammasats.pdf	context hit 2	contextual_usage	low	
frasch_1994_dhammasats-3b10d0daddfc:pl:frasch-context1	Pl.		"King Dhammacheti, A.D. 1476. In: Indian Antiquary, 22/1893, p. 32. Later Burmese chronicles followed this account: UKL 1. p. 255, and GPC, pp. 143-6.1 6 PI.V 568d, 1.5 (a votive tablet found near Rangoon). 7 9 868 10 In Pl.I 34=OBI 1, p. 93, 1.3, we find Natonmya together with his mother and his sister making a donation to Dhammavilāsa (A.D. 1211). In 1218, the same persons made a donation to the ""royal teacher"", whose brother-in-law lived"	frasch_1994_dhammasats-3b10d0daddfc	Frasch 1994 dhammasats.pdf	context hit 1	contextual_usage	low	
