raw_reference_string	occurrence_count
BED B 645-2; Pl. IV 465a (l. 1-14); OBI 4, p. 26	7
RDASB 1958-59	7
BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18	5
BED B 623-1; Pl. II 201b; OBI 3, p. 3; List 255; A, p. 79	5
RDASB 1962-63 BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18	5
RDASB 1963-64	5
RDASB 1959-60	4
BED B 600-7; OBI 2, p. 1; RDASB 1971	3
RDASB 1961-62	3
RDASB 1962-63	3
RDASB 1964-65	3
RDASB 1970-71	3
1962-63-b RDASB BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51	2
1963-64-b RDASB	2
BED B 602-4; OBI 2, p. 20; RDASB 1966; U Min Hswe, no. 7	2
BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51	2
IOB5-542	2
RDASB 1960-61	2
RDASB 1974-75 BED B 602-5; OBI 2, p. 21; RDASB 1963, p. 27, no. 16	2
& 2; IPPA-240-241; List-257; IOB2-146 BED B 604-4; Pl. II 146; OBI 2, p. 44; UEM no. 47, p. 131; List 257; PPA, p. 240; TN, p. 109, U Min Hswe, no. 53	1
---265,; List-310; IOB2-215/b BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51	1
--769; List-221; IOB1-70 BED B 595-2; Pl. I 70; OBI 1, p. 242; UEM no. 30, p. 57; copy List 221; B 2, p. 769; MM 3, no. 40, p. 170; U Min Hswe, no. 85	1
-184 BED B 614-2; Pl. II 184; OBI 2, p. 162; List 288; A, p. 94	1
-1936-37/ 4003, 1938-39/ 4080; IOB4-381 BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18	1
-2; BA-357; List-821; IOB5-592/a	1
-31 . . . . . . 2 . . . . . . 3 . . . . . . . . .	1
-377; List-890; IOB2-125/a BED B 591-1; Pl. II 125a; OBI 1, p. 204; List 890; A p. 377	1
-6-,; IOB4-462/a	1
. .; IOB3-338 BED B 603-3; Pl. II 138; OBI 2, p. 24; SIP no. 26, p. 55; UEM no. 44, p. 117; List 254; PPA, p. 155; TN, p. 71; RDASB 1926, p. 26 and App. G; U Min Hswe, no. 43; OR 3475, no. 4; U Kyaw, “Bagan Minsa”, p. 195	1
/b+ 28; IOB3-344/a-b BED B 600-7; OBI 2, p. 1; RDASB 1971	1
12; IPPA-121-122; List-261; IOB2-147/a BED B 604-5; Pl. II 147a+b; OBI 2, p. 47; UEM no. 48, p. 134; List 260-261; PPA, p. 119; TN, p. 61-62; U Min Hswe, no. 22-3	1
17; IPPA 306, 7-8; List-701/b; IOB4-393	1
1938-39-bRDASB BED B 592-3; Pl. IV 373c; OBI 1, p. 214; RDASB 1939	1
1938-39-bRDASB BED B 595-5; Pl. IV 373d; OBI 1, p. 248	1
1958-59	1
1958-59-b RDASB BED B 568-3; OBI 1, p. 82	1
1960-61-b RDASB BED B 590-3; OBI 1, p. 203; RDASB 1961, p. 15	1
1962-63 BED B 622-6; Pl. II 198; OBI 3, p. 2; List 90; PPA, p. 55; TN, p. 26; U Min Hswe, no. 51	1
1962-63 RDASB BED B 600-7; OBI 2, p. 1; RDASB 1971	1
1963,; RDASB 1964	1
1970-71	1
3 ,; RDASB 1969-70	1
617; IPPA-255; List-344/a; IOB3-239 BED B 635-1; Pl. III 239; OBI 3, p. 83; SIP no. 31, p. 72; List 344a; PPA p. 255; TN, p. 116	1
BA 107; List 328	1
BA 112; List-331; IOB3-231/a BED B 632-4; Pl. III 231a; OBI 3, p. 68; List 331; A, p. 112; MP, p. 163	1
BA 135; List-396; IOB3-281/a BED B 622-4; Pl. II 195b; OBI 3, p. 1; List 302; PPA, p. 191; TN, p. 91; U Min Hswe, no. 18	1
BA 69; List 244	1
BA-101; List-308; IOB2-202 BED B 624-1; Pl. II 202; OBI 3, p. 5; List 308; A, p. 101; MP, p. 107	1
BA-103; List-307/a; IOB2 205 BED B 624-4; Pl. II 205-206; OBI 3, p. 9-11; List 307a+b; A, p. 103-105; MP 2, p. 159	1
