record_id	source_deposit	raw_reference_string
obi-v01-n0001-tx-p0001	zenodo_4321314	IPPA-209
obi-v01-n0001-tx-p0001	zenodo_4321314	List 52
obi-v01-n0001-tx-p0001	zenodo_4321314	IOB4-364/b
obi-v01-n0001-tx-p0001	zenodo_4321314	EB Vol.1, n°1 BED B 474-1
obi-v01-n0001-tx-p0001	zenodo_4321314	Pl. IV 364a+b
obi-v01-n0001-tx-p0001	zenodo_4321314	OBI 1, p. 1 and OBI1,p.4
obi-v01-n0001-tx-p0001	zenodo_4321314	UEM no. 3, p. 3
obi-v01-n0001-tx-p0001	zenodo_4321314	EB 1 (1), 1919, p. 1
obi-v01-n0001-tx-p0001	zenodo_4321314	List 51+52
obi-v01-n0001-tx-p0001	zenodo_4321314	TN, p. 97
obi-v01-n0001-tx-p0001	zenodo_4321314	Ray, Theravada Buddhism, p. 106
obi-v01-n0001-tx-p0001	zenodo_4321314	Anthology 5, p. 81
obi-v01-n0001-tx-p0001	zenodo_4321314	Blagden, JRAS 1909, p. 10
obi-v01-n0001-tx-p0001	zenodo_4321314	U Pe Maung Tin, The Myazedi Inscription, in Nava-rat Kui:-svay, Rangoon 1966, p. 23-33
obi-v01-n0001-tx-p0001	zenodo_4321314	U Tha Myat, The Pali Version of the Myazedi Inscription, Rangoon 1958
obi-v01-n0001-tx-p0001	zenodo_4321314	U Tin Lwin, Rajakumar's Inscription in Pali, in Takkasuil ... (repr. Yangon 1989)
obi-v01-n0001-tx-p0001	zenodo_4321314	The Myazedi Inscription in Four Languages, ed. by the Cultural Institute, Rangoon 1960, Harvey, History of Myanmar, p. 43-44
obi-v01-n0001-tx-p0002	zenodo_4321314	IPPA-209, 211
obi-v01-n0001-tx-p0002	zenodo_4321314	List-52
obi-v01-n0001-tx-p0002	zenodo_4321314	IOB4-361/b
obi-v01-n0001-tx-p0002	zenodo_4321314	EB Vol.1, n°1
obi-v01-n0002-tx-p0004	zenodo_4321314	IPPA-203
obi-v01-n0002-tx-p0004	zenodo_4321314	List-51
obi-v01-n0002-tx-p0004	zenodo_4321314	IOB4-364/a
obi-v01-n0002-tx-p0004	zenodo_4321314	EB Vol.1 n°1 BED B 474-1
obi-v01-n0002-tx-p0004	zenodo_4321314	Pl. IV 364a+b
obi-v01-n0002-tx-p0004	zenodo_4321314	OBI 1, p. 4 and OBI1,p.1
obi-v01-n0002-tx-p0004	zenodo_4321314	UEM no. 3, p. 3
obi-v01-n0002-tx-p0004	zenodo_4321314	EB 1 (1), 1919, p. 1
obi-v01-n0002-tx-p0004	zenodo_4321314	List 51+52
obi-v01-n0002-tx-p0004	zenodo_4321314	TN, p. 97
obi-v01-n0002-tx-p0004	zenodo_4321314	Ray, Theravada Buddhism, p. 106
obi-v01-n0002-tx-p0004	zenodo_4321314	Anthology 5, p. 81
obi-v01-n0002-tx-p0004	zenodo_4321314	Blagden, JRAS 1909, p. 10
obi-v01-n0002-tx-p0004	zenodo_4321314	U Pe Maung Tin, The Myazedi Inscription, in Nava-rat Kui:-svay, Rangoon 1966, p. 23-33
obi-v01-n0002-tx-p0004	zenodo_4321314	U Tha Myat, The Pali Version of the Myazedi Inscription, Rangoon 1958
obi-v01-n0002-tx-p0004	zenodo_4321314	U Tin Lwin, Rajakumar's Inscription in Pali, in Takkasuil ... (repr. Yangon 1989)
obi-v01-n0002-tx-p0004	zenodo_4321314	The Myazedi Inscription in Four Languages, ed. by the Cultural Institute, Rangoon 1960, Harvey, History of Myanmar, p. 43-44
obi-v01-n0002-tx-p0006	zenodo_4321314	IPPA-207
obi-v01-n0002-tx-p0006	zenodo_4321314	List-51
obi-v01-n0002-tx-p0006	zenodo_4321314	IOB4-361/a
obi-v01-n0002-tx-p0006	zenodo_4321314	EB Vol.1, n°1
obi-v01-n0003-ob-p0008	zenodo_4321314	RDASB 1955-56 BED B 474-2
obi-v01-n0003-ob-p0008	zenodo_4321314	OBI 1, p. 8
obi-v01-n0003-ob-p0008	zenodo_4321314	Luce J 2675
obi-v01-n0004-ob-p0011	zenodo_4321314	IPPA-159
obi-v01-n0004-ob-p0011	zenodo_4321314	List-66/a
obi-v01-n0004-ob-p0011	zenodo_4321314	IOB1-1 BED B 493-1
obi-v01-n0004-ob-p0011	zenodo_4321314	Pl. I 1+2
obi-v01-n0004-ob-p0011	zenodo_4321314	OBI 1, p. 11
obi-v01-n0004-ob-p0011	zenodo_4321314	List 66 a+b
obi-v01-n0004-ob-p0011	zenodo_4321314	PPA, p. 159
obi-v01-n0004-ob-p0011	zenodo_4321314	TN, p. 73
obi-v01-n0004-ob-p0011	zenodo_4321314	Luce/U Pe Maung Tin, JBRS 10 (2), 1920, p. 67-74 (and corrected date in JBRS 22 (3), 1932, p. 151), Luce/U Pe Maung Tin, BBHC 1 (1), 1960, p. 1-28
obi-v01-n0004-ob-p0011	zenodo_4321314	Ray, Theravada Buddhism, p. 108
obi-v01-n0004-ob-p0011	zenodo_4321314	OR 3475, no. 18
obi-v01-n0004-re-p0015	zenodo_4321314	IPPA-162
obi-v01-n0004-re-p0015	zenodo_4321314	List-66/b
obi-v01-n0004-re-p0015	zenodo_4321314	IOB1-2
obi-v01-n0005-ob-p0019	zenodo_4321314	RDASB 1925-26
obi-v01-n0005-ob-p0019	zenodo_4321314	IOB3-303 BED A
obi-v01-n0005-ob-p0019	zenodo_4321314	Pl. III 303
obi-v01-n0005-ob-p0019	zenodo_4321314	OBI 1, p. 19
obi-v01-n0005-ob-p0019	zenodo_4321314	UEM, no. 1, p. 1
obi-v01-n0005-ob-p0019	zenodo_4321314	RSASB 1926, p. 26
obi-v01-n0006-ob-p0020	zenodo_4321314	IOB1-106 BED B 509-1
obi-v01-n0006-ob-p0020	zenodo_4321314	Pl. I 106-107
obi-v01-n0006-ob-p0020	zenodo_4321314	OBI 1, p. 20
obi-v01-n0006-re-p0021	zenodo_4321314	IOB1-107
obi-v01-n0007-ob-p0022	zenodo_4321314	IPPA-192
obi-v01-n0007-ob-p0022	zenodo_4321314	List-1251
obi-v01-n0007-ob-p0022	zenodo_4321314	IOB1-59 BED B 561-1 & B 509-2
obi-v01-n0007-ob-p0022	zenodo_4321314	Pl. I 59
obi-v01-n0007-ob-p0022	zenodo_4321314	OBI 1, p. 22
obi-v01-n0007-ob-p0022	zenodo_4321314	List 1251
obi-v01-n0007-ob-p0022	zenodo_4321314	PPA, p. 192
obi-v01-n0007-ob-p0022	zenodo_4321314	TN, p. 92
obi-v01-n0008-ob-p0023	zenodo_4321314	RDASB 1954-1955 BED B 503-1
obi-v01-n0008-ob-p0023	zenodo_4321314	OBI 1, p. 23
obi-v01-n0009-ob-p0025	zenodo_4321314	BED B 512-1
obi-v01-n0009-ob-p0025	zenodo_4321314	OBI 1, p. 25
obi-v01-n0010-ob-p0026	zenodo_4321314	BA-27
obi-v01-n0010-ob-p0026	zenodo_4321314	List 72
obi-v01-n0010-ob-p0026	zenodo_4321314	IOB1-3 BED B 512-2
obi-v01-n0010-ob-p0026	zenodo_4321314	Pl. I 3
obi-v01-n0010-ob-p0026	zenodo_4321314	OBI 1, p. 26
obi-v01-n0010-ob-p0026	zenodo_4321314	List 72
obi-v01-n0010-ob-p0026	zenodo_4321314	MP 1, p. 25
obi-v01-n0010-ob-p0026	zenodo_4321314	A, p. 27
obi-v01-n0010-ob-p0026	zenodo_4321314	Luce/U Pe Maung Tin, BBHC 1 (2), 1960, p. 231-7
obi-v01-n0011-ob-p0027	zenodo_4321314	IOB2-178 BED B 513-1
obi-v01-n0011-ob-p0027	zenodo_4321314	Pl. II 178
obi-v01-n0011-ob-p0027	zenodo_4321314	OBI 1, p. 27
obi-v01-n0012-ob-p0029	zenodo_4321314	IPPA-141
obi-v01-n0012-ob-p0029	zenodo_4321314	List-81/a
obi-v01-n0012-ob-p0029	zenodo_4321314	IOB1-4 BED B 527-1
obi-v01-n0012-ob-p0029	zenodo_4321314	Pl. I 4-5
obi-v01-n0012-ob-p0029	zenodo_4321314	OBI 1, p. 29
obi-v01-n0012-ob-p0029	zenodo_4321314	SIP no. 8, p. 13
obi-v01-n0012-ob-p0029	zenodo_4321314	UEM no. 5, p. 9
obi-v01-n0012-ob-p0029	zenodo_4321314	List 81a+b
obi-v01-n0012-ob-p0029	zenodo_4321314	PPA, p. 141-2
obi-v01-n0012-ob-p0029	zenodo_4321314	TN, p. 66
obi-v01-n0012-ob-p0029	zenodo_4321314	Luce/ U Pe Maung Tin, BBHC 1 (2)
obi-v01-n0012-ob-p0029	zenodo_4321314	1960, p. 241
obi-v01-n0012-re-p0030	zenodo_4321314	IPPA-143
obi-v01-n0012-re-p0030	zenodo_4321314	List-81/b
obi-v01-n0012-re-p0030	zenodo_4321314	IOB1-5
obi-v01-n0012-re-p0030	zenodo_4321314	IOB1-47
obi-v01-n0013-ob-p0032	zenodo_4321314	RDASB 1962-63 BED B 529-1
obi-v01-n0013-ob-p0032	zenodo_4321314	OBI 1, p. 32
obi-v01-n0014-ob-p0033	zenodo_4321314	RDASB 1961-62 BED B 530-1
obi-v01-n0014-ob-p0033	zenodo_4321314	OBI 1, p. 33
obi-v01-n0014-ob-p0033	zenodo_4321314	RDASB 1963, p. 27-8
obi-v01-n0015-ob-p0034	zenodo_4321314	BED B 530-3
obi-v01-n0015-ob-p0034	zenodo_4321314	OBI 1, p. 34
obi-v01-n0016-ob-p0035	zenodo_4321314	BA 107
