sip_ref	iob_plate	iob_plate_normalized	list_ref	ppa_ref	tn_ref	place_or_object_description	linked_inscription_id	linked_corpus_record_id	link_confidence	needs_manual_review	notes
SIP 13-15	Plate IV	IV	List 81 a	PPA 141-142	TN 66	Pillar in the north porch of the Dhammayangyi, Pagan (South face)			medium	true	English index-of-plates entry extracted from the OCRed volume.
SIP 15-16	Plate V	V	List 81 b	PPA 143-144	TN 66-67	Ditto (North face)			medium	true	English index-of-plates entry extracted from the OCRed volume.
SIP 19-20	Plate X a	Xa	List 123a	PPA 151-152	TN 70	From the South Guni pagoda, about 300 ft. south of the Dhammayangyi, Pagan. Now at Pagan Museum (Stone 54 East face)			medium	true	English index-of-plates entry extracted from the OCRed volume.
SIP 21	Plate X b	Xb	List 123 b	PPA 153-154	TN 70-71	Ditto (West face)			medium	true	English index-of-plates entry extracted from the OCRed volume.
SIP 25-26	Plate XXIV	XXIV	List 161			From the Thambyin Yingaung pagoda, north of the Mingalazedi, Pagan. Now at Pagan Museum (Stone 54)	obi-v01-n0045	obi-v01-n0045-ob-p0073	high	false	Linked through exact corpus plate citation(s): Pl. I 24.
SIP 29	Plate XXXI	XXXI	List 273 (a) | List 273 (b), which is on the platform of the	PPA 109-111	TN 36-57	From the enclosure of the Khemawara pagoda, north-east of Pagan. Now at Pagan Museum (Stone 50). This inscription is of one face only; it has no connexion with Lokananda pagoda, Thiripyissaya, Pagan	obi-v01-n0052	obi-v01-n0052-ob-p0083	high	false	Linked through exact corpus plate citation(s): Pl. I 31.
SIP 29-30	Plate XXXIV	XXXIV	List 174			From the Mahadhi pagoda, north of the Mingalazedi, Pagan. Now at Pagan Museum (Stone 49 East face)			medium	true	English index-of-plates entry extracted from the OCRed volume.
SIP 30-32	Plate XXXVI	XXXVI				Plate XXXVI. Saw Rahan Thein inscription, Tuywindaung, Pagan	obi-v01-n0062	obi-v01-n0062-ob-p0097	high	false	Linked through exact corpus plate citation(s): Pl. I 36.
SIP 39-42	Plate LXIX	LXIX	List 213			UB I 184-185. From the Sawminlat pagoda, north of the Ananda pagoda, Pagan. Now at Pagan Museum (Stone 46, East face)	obi-v01-n0135	obi-v01-n0135-ob-p0218	high	false	Linked through exact corpus plate citation(s): Pl. I 69.
SIP 35-39	Plate LXXIII	LXXIII	List 190	PPA 224-226	TN 103-104	At the Lemyethna pagoda, Minnanthu, Pagan (large pillar to the south of the inscription-cella, East face)			medium	true	English index-of-plates entry extracted from the OCRed volume.
SIP 42-44	Plate LXXIX b	LXXIXb	List 223	PPA 237 238	TN 108 109	Ditto (West face)	obi-v01-n0146	obi-v01-n0146-tx-p0246	high	false	Linked through exact corpus plate citation(s): Pl. I 79b.
SIP 45-47	Plate XC	XC	List 230			Ditto (North face)	obi-v01-n0160	obi-v01-n0160-ob-p0267	high	false	Linked through exact corpus plate citation(s): Pl. I 90.
SIP 49	Plate XCVI	XCVI	List 235 a			UB I 195-196. From the Sawhlawun pagoda within Pagan town. Now at Pagan Museum (Stone 44. East face)			medium	true	English index-of-plates entry extracted from the OCRed volume.
SIP 49-52	Plate XCVIII	XCVIII	List 479	PPA 3ro	TN 143	Ditto (West face).,. In the Sudaungbyi inscription-shed, West Pwazaw, Pagan (stone in south-west corner, West face)	obi-v01-n0129	obi-v01-n0129-tx-p0209	high	false	Linked through exact corpus plate citation(s): Pl. I 98.
SIP 52-55	Plate CV a	CVa	List 242	PPA 63 | PPA 181-182	TN 30 | TN 86-87	Ditto (Reverse),,,. From the south side of the enclosure of the Shinbinbodhi pagoda, Pagan. Now at Pagan Museum (Stone 60, West face)	obi-v01-n0179	obi-v01-n0179-tx-p0306	high	false	Linked through exact corpus plate citation(s): Pl. I 105a.
