catalogue_log_row_id	source_work_key	search_target	catalogue_or_repository	query	query_type	result_status	candidate_title	candidate_author_editor	candidate_year	candidate_publisher_or_series	candidate_url_or_identifier	evidence_snippet	match_assessment	next_action	notes
uem-worldcat-hathitrust-no-match	uemSelectionsPagan	U E Maung 1958 edition	WorldCat / HathiTrust	"""Selections from the Inscriptions of Pagan"" ""U E Maung"" Rangoon 1958"	author-title-year	no_match						No U E Maung 1958 catalogue record surfaced; major hits resolve to the 1928 Pe Maung Tin/Luce SIP edition.		Keep UEM open and use Burmese-title or Myanmar institutional catalogue queries.	Negative result across the major global catalogue sweep.
uem-jstor-bibliographic-clue	uemSelectionsPagan	U E Maung 1958 edition	JSTOR bibliography	"""Pagan Kyauksa Let Ywei Sin"" ""U E Maung"""	burmese-title-bibliographic	bibliographic_clue_only	Pagan Kyauksa Let Ywei Sin [Selected Pagan inscriptions]	U E Maung	1958	Rangoon; publisher not specified in the cited bibliography	JSTOR selected bibliography citation	"""E. Maung, U. ... Selected Pagan inscriptions ... 2 vols. Rangoon ... 1958"" confirms a U E Maung 1958 work but not a stable catalogue record."	needs_human_review	Search Myanmar/Rangoon catalogues under the Burmese title and 1958 date.	Useful as an external clue, but not enough to identify a holding or authoritative catalogue record.
tn-openlibrary-1899-overlap	tnInscriptionsPaganPinyaAva	TN / U Tun Nyein witness	Open Library / WorldCat-linked record	"""Inscriptions of Pagan, Pinya and Ava"" ""Tun Nyein"" 1897"	author-title-year	ambiguous_match	Inscriptions of Pagan, Pinya and Ava. Translation, with notes	Emanuel Forchhammer; Taw Sein Ko	1899	Superintendent, Government Printing, Burma	https://openlibrary.org/books/OL6584848M/Inscriptions_of_Pagan_Pinya_and_Ava.	Government Printing, Rangoon, 1899 title overlap is strong, but the surfaced record credits Forchhammer and Taw Sein Ko rather than U Tun Nyein.	needs_human_review	Retain as a bibliographic clue and look for a catalogue record that explicitly names U Tun Nyein or the 1897 issue.	Do not close the TN gap from this record alone.
tn-googlebooks-reprint	tnInscriptionsPaganPinyaAva	TN / U Tun Nyein witness	Google Books	"""Inscriptions of Pagan, Pinya and Ava"" ""Government Printing"""	title-publisher	plausible_catalogue_match	Inscriptions of Pagan, Pinya and Ava: translation, with notes	Archaeological Survey of India; Emanuel Forchhammer; Taw Sein Ko	2022 reprint of 1899 edition	Creative Media Partners / reprint of Government Printing, Burma	https://books.google.com/books?id=9lF1zwEACAAJ	Modern reprint confirms a Government Printing line for the 1899 title, but it still does not resolve the U Tun Nyein attribution question.	needs_human_review	Use it as a publisher clue only; keep searching for a record tied directly to U Tun Nyein / 1897.	
ppa-worldcat-cross-source	ppaCatalogue	PPA / IPPA catalogue work	WorldCat / Internet Archive	"""PPA"" ""Inscriptions of Pagan, Pinya and Ava"" ""Archaeological Survey of Burma"""	acronym-title-institution	ambiguous_match	Inscriptions of Pagan, Pinya and Ava: translation, with notes	Emanuel Forchhammer; Taw Sein Ko	1899	Superintendent, Government Printing, Burma	https://www.worldcat.org/title/28517318	Title overlap returns the 1899 translation-with-notes record, which aligns more naturally with TN/Forchhammer than with the separate PPA/IPPA catalogue family.	cross_source_or_secondary	Do not promote as PPA; keep searching for a catalogue record that explicitly uses PPA/IPPA or the Archaeological Survey of Burma catalogue family.	
ppa-ippa-no-match	ppaCatalogue	PPA / IPPA catalogue work	WorldCat / HathiTrust / Google Books	"""IPPA"" OR ""PPA catalogue"" ""Archaeological Survey of Burma"""	acronym-catalogue-search	no_match						No standalone PPA/IPPA catalogue record surfaced in the initial external sweep.		Keep PPA open and continue with Archaeological Survey of Burma catalogue searches.	Negative result kept explicitly so the same acronym searches are not retried without new evidence.
ub-hathitrust-list-clue	ubSourceFamily	UB 1 / UB 2 source-family volumes	HathiTrust / Internet Archive	"""Inscriptions Collected in Upper Burma"" ""UB 1"" ""UB 2"""	title-volume-search	bibliographic_clue_only	A list of inscriptions found in Burma	Charles Duroiselle	1921	Superintendent, Government Printing, Burma	https://archive.org/details/listofinscriptio00burmuoft	"The 1921 List record refers to ""The Inscriptions collected in Upper Burma, Vol. I, 1900; Vol. II, 1903"" but does not surface standalone UB records."	needs_human_review	Use the cited volume references as external clues while continuing catalogue searches for standalone UB holdings.	
ub-bodawpaya-ambiguous	ubSourceFamily	UB 1 / UB 2 source-family volumes	Internet Archive	"""Original Inscriptions Collected By King Bodawpaya In Upper Burma"""	related-upper-burma-title	ambiguous_match	Original Inscriptions Collected By King Bodawpaya In Upper Burma		1913		https://archive.org/details/original-inscriptions-collected-by-king-bodawpaya-in-upper-burma-1913	Upper Burma overlap is real, but this is a different title and should not stand in for UB 1 / UB 2.	cross_source_or_secondary	Retain as reviewed noise and do not use it to close the UB source-family gap.	
ub-worldcat-no-standalone-record	ubSourceFamily	UB 1 / UB 2 source-family volumes	WorldCat / Google Books	"""Inscriptions Collected in Upper Burma"" OR ""UB 1"" OR ""UB 2"""	title-acronym-search	no_match						No standalone UB 1 / UB 2 external catalogue record surfaced in the initial WorldCat/Google Books sweep.		Keep UB open and continue targeted Archaeological Survey of Burma holding searches.	
iob-berkeley-text-record	lucePeMaungTinInscriptionsOfBurma	IOB companion text volume	UC Berkeley Library	"""Inscriptions of Burma"" ""G. H. Luce"" ""Pe Maung Tin"" text"	title-author-text-volume	exact_catalogue_match	Inscriptions of Burma.	G. H. Luce; Pe Maung Tin; University of Rangoon	1934-	Oxford University Press, H. Milford; University of Rangoon. Oriental studies. Publication no. 5-6	https://digicoll.lib.berkeley.edu/record/289404	Berkeley records the work as Type: Text, issued in portfolio, with contents for Portfolio IV and Portfolio V.	authoritative_catalogue_record	Use this catalogue record as the acquisition lead for the missing companion text volumes; keep local text-witness counts at zero until a local copy is obtained.	This identifies the companion text witness family without conflating it with the verified plate portfolios.
