source_work_key	query	variant_type	matched_file_label	matched_file_id	match_type	match_confidence	short_evidence	searched_sources	search_scope	search_date_or_run_id	search_result_status	is_known_false_positive	false_positive_reason	recommended_action	notes
uemSelectionsPagan	U E Maung	author_name			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
uemSelectionsPagan	U. E. Maung	author_name			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
uemSelectionsPagan	E Maung	author_name	031070.pdf	031070-d0d3df8f0935	exact_title_filename	high	OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1913/CaveSculpture-MaungGyi1913.pdf | OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/JBRS Originals/031070.pdf	local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	candidate_found	false		Do not promote this broad-query hit; retain it only as reviewed query noise and continue targeted U E Maung search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | Broad name-fragment query matched a Maung Gyi cave-sculpture article, not a U E Maung direct witness.
uemSelectionsPagan	U E Maung Selections	title_variant	Frasch 1994 dhammasats.pdf	frasch_1994_dhammasats-3b10d0daddfc	ocr_bibliographic_mention	low	Abbreviations Abbreviations A.D. B.E. Anno Domini Burmese Era GPC = Glass Palace Chronicle of the Kings of Burma, transl. by Luce and U Pe Maung Tin, Rangoon (repr.) 1960 OBI PI. UEM = Old Burmese Inscriptions, read by U Aung Thaw (vol.1) and U Nyein Maung (v…	local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	bibliographic_clue_found	false		Treat this as a bibliographic clue only; locate the direct local file.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | OCR/index token overlap 2/2 for U E Maung Selections
uemSelectionsPagan	U E Maung Pagan	title_variant	223151.pdf	223151-c159fe6459f2	normalized_title_filename	medium	OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1932/SakaEraPagan-PeMaungTin1932.pdf | OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/JBRS Originals/223151.pdf	local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	candidate_found	false		Do not promote this file as a U E Maung direct witness; retain it only as a reviewed secondary/unrelated lead and continue targeted U E Maung search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | Matched a Pe Maung Tin article/path signal rather than a U E Maung direct witness.
uemSelectionsPagan	U E Maung inscriptions	title_variant	201033.pdf	201033-5a49239473a4	normalized_title_filename	medium	OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/1930/PeMaungTin-1930-OldWordsinInscriptions.pdf | OBI_LIBRARY_ROOT:Thematic/Burmese/Burma JBRS/JBRS Originals/201033.pdf	local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	candidate_found	false		Do not promote this file as a U E Maung direct witness; retain it only as a reviewed secondary/unrelated lead and continue targeted U E Maung search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | Matched a Pe Maung Tin article/path signal rather than a U E Maung direct witness.
uemSelectionsPagan	Selections from the Inscriptions of Pagan U E Maung	title_variant	Luce 1928 inscriptions of Pagan.pdf	luce_pemaungtin_1928_inscriptions_of_pag-da9f6d6d89b3	normalized_title_filename	medium	OBI_AUTHOR_ALPHA_ROOT:Luce/Luce 1928 inscriptions of Pagan.pdf | OBI_AUTHOR_ALPHA_ROOT:Luce/Luce&PeMaungTin 1928 inscriptions of Pagan.pdf | OBI_AUTHOR_ALPHA_ROOT:Pe Maung Tin/Luce&PeMaungTin 1928 inscriptions of Pagan.pdf | OBI_LIBRARY_ROOT:Authors alphabeti…	local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	candidate_found	true	known SIP/UEM false positive; reviewed file belongs to the Luce and Pe Maung Tin SIP witness, not to U E Maung	Do not promote this file; retain it only as a reviewed SIP/UEM false positive and continue targeted U E Maung search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | known SIP/UEM false positive; reviewed file belongs to the Luce and Pe Maung Tin SIP witness, not to U E Maung
uemSelectionsPagan	Rangoon 1958 inscriptions Pagan	publication_detail	Frasch 1994 dhammasats.pdf	frasch_1994_dhammasats-3b10d0daddfc	ocr_bibliographic_mention	low	Abbreviations Abbreviations A.D. B.E. Anno Domini Burmese Era GPC = Glass Palace Chronicle of the Kings of Burma, transl. by Luce and U Pe Maung Tin, Rangoon (repr.) 1960 OBI PI. UEM = Old Burmese Inscriptions, read by U Aung Thaw (vol.1) and U Nyein Maung (v…	local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	bibliographic_clue_found	false		Treat this as a bibliographic clue only; locate the direct local file.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | OCR/index token overlap 3/4 for Rangoon 1958 inscriptions Pagan
uemSelectionsPagan	UEM no.	abbreviation			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
tnInscriptionsPaganPinyaAva	U Tun Nyein	author_name			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
tnInscriptionsPaganPinyaAva	Tun Nyein	author_name			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
tnInscriptionsPaganPinyaAva	Tun Nyein 1897	publication_detail			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
tnInscriptionsPaganPinyaAva	Tun Nyein Pagan	title_variant			not_found	low		local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex	targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR index, and bibliography crosswalk	2026-06-06	not_found	false		Continue targeted local/direct-witness search.	Coverage: local_file_manifest;source_library_manifest;ocr_text_index;raw_reference_to_bibtex via targeted author/title/abbreviation search across local manifests, source-library paths, author-folder path hints, OCR inde… | No local direct witness or bibliographic clue matched this query.
