translation_unit_id	linked_corpus_record_id	linked_inscription_id	title_original	source_key	source_locator	translation_status	translation_coverage	translation_coverage_basis	translation_length_chars	line_count_for_record	has_full_transliteration	review_priority	notes
jbrs-translation-unit-20260531-001	obi-v01-n0004-ob-p0011	obi-v01-n0004-ob-p0011	ရွှေဂူကြီးဘုရားကျောက်စာ	jbrsShwegugyi1920	JBRS 10(2), 1920, pp. 67-74	published_translation	full_inscription	JBRS 10(2), 1920, pp. 67-74 presents a continuous complete translation for the linked inscription.	5632	47	true	normal	Completed published translation integrated into the enriched corpus candidate.
rajakumar-translation-2001-myanmar	obi-v01-n0001-tx-p0001	obi-v01-n0001-tx-p0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	tunAungChainRajakumar2001	Cultural Classics 2001, Appendix I Myanmar Text, pp. 33-34 (OCR pages 10-11)	published_translation	full_version	Source labels this as Myanmar Text and provides a continuous complete translation of that version.	2056	33	true	normal	version_label=Myanmar Text; integrated to Myanmar Rajakumar/Myazedi record.
rajakumar-translation-2001-mon				tunAungChainRajakumar2001	Cultural Classics 2001, Appendix I Mon Text, pp. 34-35 (OCR pages 11-12)	published_translation	full_version	Source labels this as Mon Text and presents a continuous translation of that version, but no matching structured corpus record is linked.	2175	0	false	high	version_label=Mon Text; extracted but kept unlinked pending a Mon corpus record.
rajakumar-translation-2001-pyu				tunAungChainRajakumar2001	Cultural Classics 2001, Appendix I Pyu Text, p. 35 (OCR page 12)	published_partial_translation	excerpt	Extracted Pyu section is clipped in local OCR and retained only as an excerpt-level translation segment.	2547	0	false	high	version_label=Pyu Text; extracted as partial due OCR clipping and kept unlinked.
rajakumar-translation-2001-pali	obi-v01-n0001-tx-p0002	obi-v01-n0001-tx-p0002	မြစေတီဘုရား ကျောက်စာ ပါဠိ (ရာဇကုမာရကျောက်စာ)	tunAungChainRajakumar2001	Cultural Classics 2001, Appendix I Pali Text, pp. 35-36 (OCR pages 12-13)	published_translation	full_version	Source labels this as Pali Text and provides a continuous complete translation of that version.	2753	40	true	normal	version_label=Pali Text; integrated to Pali Rajakumar/Myazedi record.
tn-translation-1899-plate-xlv-tn-70	obi-v01-n0081-ob-p0125	obi-v01-n0081	သမန္တသု မယားကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 70 (Plate XLV; OCR pages 83)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	542	21	true	high	version_label=TN locator TN 70; source_iob_plate=Plate XLV; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
tn-translation-1899-plate-x-b-tn-70-71-no-6	obi-v01-n0029-re-p0051	obi-v01-n0029	အမတ်ကြီး သိင်္ဃသူရ် ကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 70-71 (Plate X b; linked through SIP 21 / IOB Plate X b source-text match, not through prior corpus plate metadata; OCR pages 83, 84)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	2834	32	true	high	version_label=TN locator TN 70-71; subentry=No. (6) only; source_iob_plate=Plate X b; linked through SIP 21 / IOB Plate X b source-text match, not prior corpus plate metadata.
tn-translation-1899-plate-xxvii-tn-80	obi-v01-n0047-ob-p0075	obi-v01-n0047	စိုးမင်းပျံချီသမီးကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 80 (Plate XXVII; OCR pages 93)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	1659	25	true	high	version_label=TN locator TN 80; source_iob_plate=Plate XXVII; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
tn-translation-1899-plate-lix-tn-92	obi-v01-n0007-ob-p0022	obi-v01-n0007	ငနွယ်သင်ကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 92 (Plate LIX; OCR pages 105)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	801	21	true	high	version_label=TN locator TN 92; source_iob_plate=Plate LIX; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
tn-translation-1899-plate-lxxiv-tn-100-101	obi-v01-n0097-tx-p0156	obi-v01-n0097	မဟာသေနာပတိ အန္တသူရမောင်နှံ ကျောက်စာ	tnInscriptionsPaganPinyaAva	TN 100 101 (Plate LXXIV; OCR pages 113, 114)	published_partial_translation	partial_inscription	TN numbered entry provides a bounded segment translation for this linked inscription record, not the full inscription text.	3993	56	true	high	version_label=TN locator TN 100 101; source_iob_plate=Plate LXXIV; extracted from data/working/ocr/pagan_pinya_ava_1899/ocr_cleaned_text_light.txt.
