tn_locator	linked_corpus_record_id	linked_inscription_id	title_or_label	iob_plate	list_ref	ppa_ref	sip_ref	priority	current_status	translation_unit_id	reason_not_integrated	next_action	notes
TN 100 101	obi-v01-n0097-tx-p0156	obi-v01-n0097	မဟာသေနာပတိ အန္တသူရမောင်နှံ ကျောက်စာ	Plate LXXIV	List 121	PPA 217-218		high	integrated	tn-translation-1899-plate-lxxiv-tn-100-101			Exact structured corpus plate citation resolved to OCRed Plate LXXIV.
TN 102-103	obi-v01-n0142-tx-p0238	obi-v01-n0142	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	Plate LXXVI	List 186	PPA 221-223		high	integrated	tn-translation-1899-plate-lxxvi-tn-102-103			Exact structured corpus plate citation resolved to OCRed Plate LXXVI.
TN 105	obi-v01-n0142-tx-p0238	obi-v01-n0142	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	Plate LXXVII	List 197	PPA 229-230		high	integrated	tn-translation-1899-plate-lxxvii-tn-105			Exact structured corpus plate citation resolved to OCRed Plate LXXVII.
TN 106	obi-v01-n0142-tx-p0238	obi-v01-n0142	လေးမျက်နှာဘုရားကျောက်စာရုံအမှတ် ၃ ကျောက်စာ	Plate LXXVIII a	List 199	PPA 231-232		high	integrated	tn-translation-1899-plate-lxxviii-a-tn-106			Exact structured corpus plate citation resolved to OCRed Plate LXXVIII a.
TN 107	obi-v01-n0128-ob-p0208	obi-v01-n0128	ကြံသိုင်းကြီးသမီး သမန္တသူမယား ကျောက်စာ	Plate LXXXIII	List 204	PPA 234		high	integrated	tn-translation-1899-plate-lxxxiii-tn-107			Exact structured corpus plate citation resolved to OCRed Plate LXXXIII.
TN 107-108	obi-v01-n0143-ob-p0240	obi-v01-n0143	ရာဇ မဟာမင်္ဂလပတိယ် ကျောက်စာ	Plate LXVIII	List 222	PPA 235-236		high	integrated	tn-translation-1899-plate-lxviii-tn-107-108			Exact structured corpus plate citation resolved to OCRed Plate LXVIII.
TN 108 109	obi-v01-n0146-tx-p0246	obi-v01-n0146	လေးမျက်နှာဘုရားကျောက်စာရုံ ကျောက်တိုင်အမှတ် ၇ ကျောက်စာ	Plate LXXIX b	List 223	PPA 237 238	SIP 42-44	high	integrated	tn-translation-1899-plate-lxxix-b-tn-108-109			Exact structured corpus plate citation resolved to OCRed Plate LXXIX b.
TN 143	obi-v01-n0129-tx-p0209	obi-v01-n0129	သိခင်မြင်းခုန်တိုင်ကျောက်စာ	Plate XCVIII	List 479	PPA 3ro	SIP 49-52	high	integrated_after_manual_review	tn-translation-1899-plate-xcviii-tn-143			Exact structured corpus plate citation resolved to OCRed Plate XCVIII. | Manual page/image inspection with targeted Tesseract OCR on pages 156-157 isolates No. (6) and confirms the Myingondaing 300-pes dedication segment aligned to this record.
TN 27-28	obi-v01-n0057-ob-p0091	obi-v01-n0057	ကြံသိုင်းမယား ကျောက်စာ	Plate L	List 122	PPA 57		high	integrated	tn-translation-1899-plate-l-tn-27-28			Exact structured corpus plate citation resolved to OCRed Plate L.
TN 28	obi-v01-n0095-re-p0142	obi-v01-n0095	ကြံသိုင်းကြီးသမီးကျောက်စာ	Plate LI	List 19t	PPA 58		high	integrated_after_manual_review	tn-translation-1899-plate-li-tn-28			Exact structured corpus plate citation resolved to OCRed Plate LI. | Manual page inspection of OCR page 41 and rendered image page-041.png confirms a distinct No. (3) segment for the CS 585 daughter-of-Kyan-Thaing inscription.
TN 28-29	obi-v01-n0169-ob-p0287	obi-v01-n0169	မင်းရာဇသူသမီး စေယျသူဌေးမယား ကျောက်စာ	Plate XCIII	List 211	PPA 59-60		high	integrated	tn-translation-1899-plate-xciii-tn-28-29			Exact structured corpus plate citation resolved to OCRed Plate XCIII.
TN 65-66	obi-v01-n0021-ob-p0042	obi-v01-n0021	တိုင်းချွတ်ဘုရားကျောက်စာ	Plate VI	List 105	PPA 139 140		high	integrated	tn-translation-1899-plate-vi-tn-65-66			Exact structured corpus plate citation resolved to OCRed Plate VI.
TN 69	obi-v01-n0070-ob-p0111	obi-v01-n0070	နားတောင်းသိခင်ကျောက်စာ	Plate XLI	List 179	PPA 149		high	integrated	tn-translation-1899-plate-xli-tn-69			Exact structured corpus plate citation resolved to OCRed Plate XLI.
TN 70	obi-v01-n0081-ob-p0125	obi-v01-n0081	သမန္တသု မယားကျောက်စာ	Plate XLV	List 183	PPA 150		high	integrated	tn-translation-1899-plate-xlv-tn-70			Exact structured corpus plate citation resolved to OCRed Plate XLV.
TN 79	obi-v01-n0027-ob-p0048	obi-v01-n0027	ပုဂံပြတိုက် ကျောက်တိုင်အမှတ် ၁၂	Plate XIII	List 120	PPA 165		high	integrated	tn-translation-1899-plate-xiii-tn-79			Exact structured corpus plate citation resolved to OCRed Plate XIII.
TN 80	obi-v01-n0047-ob-p0075	obi-v01-n0047	စိုးမင်းပျံချီသမီးကျောက်စာ	Plate XXVII	List 165	PPA 167		high	integrated	tn-translation-1899-plate-xxvii-tn-80			Exact structured corpus plate citation resolved to OCRed Plate XXVII.
TN 82-83	obi-v01-n0130-ob-p0211	obi-v01-n0130	သိခင် ငစွယ်သင် ကျောက်စာ	Plate LXII	List 205	PPA 172 173		high	integrated	tn-translation-1899-plate-lxii-tn-82-83			Exact structured corpus plate citation resolved to OCRed Plate LXII.
