local_file_id	batch_id	file_name	year	path_stub	ocr_text_path	metadata_path	pages_completed	ocr_status	language_scope_guess	contains_translation_marker	contains_text_marker	contains_inscription_marker	contains_burmese_marker	contains_pali_marker	contains_mon_marker	contains_pyu_marker	notes
may_oung_1929_prome_and_the_pyus_jbrs_2_-b82612456f38	jbrs-ocr-3337	021072.pdf		Burmese/Burma JBRS/JBRS Originals/021072.pdf	data/working/ocr/jbrs/text/may_oung_1929_prome_and_the_pyus_jbrs_2_-b82612456f38.txt	data/working/ocr/jbrs/metadata/may_oung_1929_prome_and_the_pyus_jbrs_2_-b82612456f38.json	2	completed	Burmese	false	false	true	false	false	true	true	Repo-safe OCR export copied from completed gitignored local OCR text; page images and Google Vision JSON remain under data_local/.
pe_maung_tin_development_of_burmese_lang-3825b88497cc	jbrs-ocr-3343	141058.pdf		Burmese/Burma JBRS/JBRS Originals/141058.pdf	data/working/ocr/jbrs/text/pe_maung_tin_development_of_burmese_lang-3825b88497cc.txt	data/working/ocr/jbrs/metadata/pe_maung_tin_development_of_burmese_lang-3825b88497cc.json	2	completed	Burmese	true	true	true	true	true	true	false	Repo-safe OCR export copied from completed gitignored local OCR text; page images and Google Vision JSON remain under data_local/.
292139-e4dff1f83397	jbrs-ocr-1771	292139.pdf		Burmese/Burma JBRS/JBRS Originals/292139.pdf	data/working/ocr/jbrs/text/292139-e4dff1f83397.txt	data/working/ocr/jbrs/metadata/292139-e4dff1f83397.json	18	completed	Burmese	true	false	false	false	false	true	false	Repo-safe OCR export copied from completed gitignored local OCR text; page images and Google Vision JSON remain under data_local/.
292187-54cbd71592a6	jbrs-ocr-1774	292187.pdf		Burmese/Burma JBRS/JBRS Originals/292187.pdf	data/working/ocr/jbrs/text/292187-54cbd71592a6.txt	data/working/ocr/jbrs/metadata/292187-54cbd71592a6.json	6	completed	Burmese	true	false	false	false	false	false	false	Repo-safe OCR export copied from completed gitignored local OCR text; page images and Google Vision JSON remain under data_local/.
301283-02e08d098958	jbrs-ocr-1785	301283.pdf		Burmese/Burma JBRS/JBRS Originals/301283.pdf	data/working/ocr/jbrs/text/301283-02e08d098958.txt	data/working/ocr/jbrs/metadata/301283-02e08d098958.json	53	completed	Burmese	true	false	true	true	true	true	true	Repo-safe OCR export copied from completed gitignored local OCR text; page images and Google Vision JSON remain under data_local/.
311001-03e7c3f90427	jbrs-ocr-1800	311001.pdf		Burmese/Burma JBRS/JBRS Originals/311001.pdf	data/working/ocr/jbrs/text/311001-03e7c3f90427.txt	data/working/ocr/jbrs/metadata/311001-03e7c3f90427.json	18	completed	Burmese	false	false	false	false	false	true	false	Repo-safe OCR export copied from completed gitignored local OCR text; page images and Google Vision JSON remain under data_local/.
321079-886d98b46919	jbrs-ocr-1819	321079.pdf		Burmese/Burma JBRS/JBRS Originals/321079.pdf	data/working/ocr/jbrs/text/321079-886d98b46919.txt	data/working/ocr/jbrs/metadata/321079-886d98b46919.json	16	completed	Burmese	true	true	true	true	true	true	true	Repo-safe OCR export copied from completed gitignored local OCR text; page images and Google Vision JSON remain under data_local/.
331059-e67f16a2e05f	jbrs-ocr-1826	331059.pdf		Burmese/Burma JBRS/JBRS Originals/331059.pdf	data/working/ocr/jbrs/text/331059-e67f16a2e05f.txt	data/working/ocr/jbrs/metadata/331059-e67f16a2e05f.json	30	completed	Burmese	false	false	false	false	true	false	false	Repo-safe OCR export copied from completed gitignored local OCR text; page images and Google Vision JSON remain under data_local/.
361021-54644d3a17b0	jbrs-ocr-1844	361021.pdf		Burmese/Burma JBRS/JBRS Originals/361021.pdf	data/working/ocr/jbrs/text/361021-54644d3a17b0.txt	data/working/ocr/jbrs/metadata/361021-54644d3a17b0.json	38	completed	Burmese	false	false	false	false	true	false	false	Repo-safe OCR export copied from completed gitignored local OCR text; page images and Google Vision JSON remain under data_local/.
362071-d4bf7e7fb62b	jbrs-ocr-1853	362071.pdf		Burmese/Burma JBRS/JBRS Originals/362071.pdf	data/working/ocr/jbrs/text/362071-d4bf7e7fb62b.txt	data/working/ocr/jbrs/metadata/362071-d4bf7e7fb62b.json	12	completed	Burmese	false	false	false	false	false	false	false	Repo-safe OCR export copied from completed gitignored local OCR text; page images and Google Vision JSON remain under data_local/.
