record_id	source_field	label_original	place_id
obi-v01-n0001-tx-p0001	place_of_origin_original	in compound of Myazedi east of Gubyaukkyi temple (IMP 1323), Myinkaba, Bagan	place-in-compound-of-myazedi-east-of-gubyaukkyi-temple-imp-1323-myinkaba-bagan
obi-v01-n0001-tx-p0001	current_location_original	in situ and Bagan Museum stone 10 (old) and 47 (new)	place-in-situ-and-bagan-museum-stone-10-old-and-47-new
obi-v01-n0002-tx-p0004	place_of_origin_original	in compound of Myazedi east of Gubyaukkyi temple (IMP 1323), Myinkaba, Bagan	place-in-compound-of-myazedi-east-of-gubyaukkyi-temple-imp-1323-myinkaba-bagan
obi-v01-n0002-tx-p0004	current_location_original	in situ and Bagan Museum stone 10 (old) and 47 (new)	place-in-situ-and-bagan-museum-stone-10-old-and-47-new
obi-v01-n0003-ob-p0008	place_of_origin_original	Napaytaw group SE of Htilominlo (IMP 410 ?), Bagan	place-napaytaw-group-se-of-htilominlo-imp-410-bagan
obi-v01-n0003-ob-p0008	current_location_original	Bagan Museum stone 116	place-bagan-museum-stone-116
obi-v01-n0004-ob-p0011	place_of_origin_original	Shwegu-gyi temple (IMP 1589). Pagan	place-shwegu-gyi-temple-imp-1589-pagan
obi-v01-n0004-ob-p0011	current_location_original	in situ	place-in-situ
obi-v01-n0005-ob-p0019	place_of_origin_original	Mt. Thetso, in collection near IMP 2223	place-mt-thetso-in-collection-near-imp-2223
obi-v01-n0005-ob-p0019	current_location_original	in situ	place-in-situ
obi-v01-n0006-ob-p0020	place_of_origin_original	Bagan	place-bagan
obi-v01-n0006-ob-p0020	current_location_original	now in brick building SE of Hsinpyushin monastery, Minnanthu	place-now-in-brick-building-se-of-hsinpyushin-monastery-minnanthu
obi-v01-n0007-ob-p0022	place_of_origin_original	Bagan Mahabodhi	place-bagan-mahabodhi
obi-v01-n0007-ob-p0022	current_location_original	Bagan Museum stone 24	place-bagan-museum-stone-24
obi-v01-n0008-ob-p0023	place_of_origin_original	Anein	place-anein
obi-v01-n0008-ob-p0023	current_location_original	Bagan Museum stone 162a+b	place-bagan-museum-stone-162a-b
obi-v01-n0009-ob-p0025	place_of_origin_original	(acc. to Luce:) Payagon temple, Wet-kyi-in village, moved to Kyanzittha Umin	place-acc-to-luce-payagon-temple-wet-kyi-in-village-moved-to-kyanzittha-umin
obi-v01-n0009-ob-p0025	current_location_original	Bagan Museum stone 158	place-bagan-museum-stone-158
obi-v01-n0010-ob-p0026	place_of_origin_original	Myingondaing	place-myingondaing
obi-v01-n0010-ob-p0026	current_location_original	Mandalay Palace stone 14	place-mandalay-palace-stone-14
obi-v01-n0011-ob-p0027	place_of_origin_original	Thein-paya, Hsalay village, Magwe distr.	place-thein-paya-hsalay-village-magwe-distr
obi-v01-n0011-ob-p0027	current_location_original	in situ	place-in-situ
obi-v01-n0012-ob-p0029	place_of_origin_original	Dhammayan-gyi temple, Bagan	place-dhammayan-gyi-temple-bagan
obi-v01-n0012-ob-p0029	current_location_original	in situ	place-in-situ
obi-v01-n0013-ob-p0032	place_of_origin_original	Nga Taya village, Sagaing distr.	place-nga-taya-village-sagaing-distr
obi-v01-n0013-ob-p0032	current_location_original	in situ	place-in-situ
obi-v01-n0014-ob-p0033	place_of_origin_original	?	place-unknown
obi-v01-n0014-ob-p0033	current_location_original	Mandalay Palace stone 596	place-mandalay-palace-stone-596
obi-v01-n0015-ob-p0034	place_of_origin_original	Yintaw vill., Meiktila distr.	place-yintaw-vill-meiktila-distr
obi-v01-n0015-ob-p0034	current_location_original	in situ	place-in-situ
obi-v01-n0017-ob-p0037	place_of_origin_original	a temple between Sha-kwe vill. and Ngapat-chaung, near Wetlet, Shwebo District.	place-a-temple-between-sha-kwe-vill-and-ngapat-chaung-near-wetlet-shwebo-district
obi-v01-n0017-ob-p0037	current_location_original	in situ	place-in-situ
obi-v01-n0018-ob-p0038	place_of_origin_original	Daung-taung village, Natmauk ts., Magwe District.	place-daung-taung-village-natmauk-ts-magwe-district
obi-v01-n0018-ob-p0038	current_location_original	in situ	place-in-situ
obi-v01-n0019-ob-p0040	place_of_origin_original	Bagan ?	place-bagan
obi-v01-n0019-ob-p0040	current_location_original	Mandalay Palace stone 3	place-mandalay-palace-stone-3
obi-v01-n0020-ob-p0041	place_of_origin_original	?	place-unknown
obi-v01-n0020-ob-p0041	current_location_original	Mandalay Palace stone 471	place-mandalay-palace-stone-471
obi-v01-n0021-ob-p0042	place_of_origin_original	Taing-chut temple (IMP no. 1957), Bagan	place-taing-chut-temple-imp-no-1957-bagan
obi-v01-n0021-ob-p0042	current_location_original	Bagan Museum stone 57	place-bagan-museum-stone-57
obi-v01-n0022-ob-p0043	place_of_origin_original	Min-o-chantha temple (IMP 1924-1930), Bagan; New Bagan Museum stone 11 (31 acc. to Min Hswe)	place-min-o-chantha-temple-imp-1924-1930-bagan-new-bagan-museum-stone-11-31-acc-to-min-hswe
obi-v01-n0022-ob-p0043	current_location_original	Mandalay Mahamuni no. 59	place-mandalay-mahamuni-no-59
obi-v01-n0023-ob-p0044	place_of_origin_original	?	place-unknown
obi-v01-n0023-ob-p0044	current_location_original	Mandalay Palace stone 21	place-mandalay-palace-stone-21
obi-v01-n0024-ob-p0045	place_of_origin_original	Bagan	place-bagan
obi-v01-n0024-ob-p0045	current_location_original	Bagan Museum stone 55	place-bagan-museum-stone-55
obi-v01-n0025-ob-p0046	place_of_origin_original	?	place-unknown
obi-v01-n0025-ob-p0046	current_location_original	Mandalay Palace stone 597	place-mandalay-palace-stone-597
obi-v01-n0026-ob-p0046	place_of_origin_original	Kyaung-pyu village, Sagaing	place-kyaung-pyu-village-sagaing
obi-v01-n0026-ob-p0046	current_location_original	Sagaing Htupayon stone 47	place-sagaing-htupayon-stone-47
obi-v01-n0027-ob-p0048	place_of_origin_original	Mahabodhi temple, Bagan	place-mahabodhi-temple-bagan
obi-v01-n0027-ob-p0048	current_location_original	Bagan Museum stone 12	place-bagan-museum-stone-12
obi-v01-n0028-ob-p0049	place_of_origin_original	Shwegu vill., Meiktila distr.	place-shwegu-vill-meiktila-distr
obi-v01-n0028-ob-p0049	current_location_original	in situ	place-in-situ
obi-v01-n0029-ob-p0050	place_of_origin_original	South Guni temple (IMP 765), Bagan	place-south-guni-temple-imp-765-bagan
obi-v01-n0029-ob-p0050	current_location_original	New Bagan Museum stone 54	place-new-bagan-museum-stone-54
obi-v01-n0030-ob-p0053	place_of_origin_original	Shwe-muttaw temple, Payagyi vill., Natogyi, Myinkyan distr.	place-shwe-muttaw-temple-payagyi-vill-natogyi-myinkyan-distr
obi-v01-n0030-ob-p0053	current_location_original	in situ	place-in-situ
obi-v01-n0031-ob-p0054	place_of_origin_original	Pandaw Shwegyaung temple, Pindale	place-pandaw-shwegyaung-temple-pindale
obi-v01-n0031-ob-p0054	current_location_original	Mandalay Palace stone 58	place-mandalay-palace-stone-58
obi-v01-n0032-ob-p0055	place_of_origin_original	Tatkale temple (IMP 572-3), Minnanthu, Bagan	place-tatkale-temple-imp-572-3-minnanthu-bagan
obi-v01-n0032-ob-p0055	current_location_original	in situ	place-in-situ
obi-v01-n0033-ob-p0056	place_of_origin_original	?	place-unknown
obi-v01-n0033-ob-p0056	current_location_original	Mandalay Palace stone 292 (291 acc to Pl.)	place-mandalay-palace-stone-292-291-acc-to-pl
obi-v01-n0034-re-p0056	place_of_origin_original	Bagan	place-bagan
obi-v01-n0034-re-p0056	current_location_original	Bagan Museum stone 12	place-bagan-museum-stone-12
obi-v01-n0035-ob-p0057	place_of_origin_original	Sagyo temple, Sale, Magwe District.	place-sagyo-temple-sale-magwe-district
obi-v01-n0035-ob-p0057	current_location_original	in situ	place-in-situ
obi-v01-n0036-ob-p0058	place_of_origin_original	Hsudaungpyi temple, Sunye village, Kyaukse Distr.	place-hsudaungpyi-temple-sunye-village-kyaukse-distr
obi-v01-n0036-ob-p0058	current_location_original	in situ	place-in-situ
obi-v01-n0037-re-p0059	place_of_origin_original	Bagan	place-bagan
obi-v01-n0037-re-p0059	current_location_original	Bagan Museum stone 158	place-bagan-museum-stone-158
obi-v01-n0040-ob-p0064	place_of_origin_original	?	place-unknown
obi-v01-n0040-ob-p0064	current_location_original	Mandalay Palace stone 204 [stone 439 acc. to IB]	place-mandalay-palace-stone-204-stone-439-acc-to-ib
obi-v01-n0041-ob-p0065	place_of_origin_original	Dhammayazika stupa (IMP 947), Bagan	place-dhammayazika-stupa-imp-947-bagan
obi-v01-n0041-ob-p0065	current_location_original	in situ	place-in-situ
obi-v01-n0042-ob-p0069	place_of_origin_original	?	place-unknown
obi-v01-n0042-ob-p0069	current_location_original	Mandalay Palace stone 22	place-mandalay-palace-stone-22
obi-v01-n0043-ob-p0070	place_of_origin_original	a temple between Maunggan village and Ye-ngwe village, near Ma-hlaing	place-a-temple-between-maunggan-village-and-ye-ngwe-village-near-ma-hlaing
obi-v01-n0043-ob-p0070	current_location_original	Man dalay Palace stone 587	place-man-dalay-palace-stone-587
obi-v01-n0044-ob-p0071	place_of_origin_original	Hsudaungpyi temple, Thatun-e vill. near Mahlaing	place-hsudaungpyi-temple-thatun-e-vill-near-mahlaing
obi-v01-n0044-ob-p0071	current_location_original	in situ	place-in-situ
obi-v01-n0045-ob-p0073	place_of_origin_original	Thampyin Yinkaung ceti (N of Mingalazedi), Bagan	place-thampyin-yinkaung-ceti-n-of-mingalazedi-bagan
obi-v01-n0045-ob-p0073	current_location_original	New Bagan Museum stone 51	place-new-bagan-museum-stone-51
obi-v01-n0046-ob-p0074	place_of_origin_original	Kyaukse village, near Yamethin	place-kyaukse-village-near-yamethin
obi-v01-n0046-ob-p0074	current_location_original	in situ	place-in-situ
obi-v01-n0047-ob-p0075	place_of_origin_original	Bagan Mahabodhi	place-bagan-mahabodhi
obi-v01-n0047-ob-p0075	current_location_original	Bagan Museum stone 14	place-bagan-museum-stone-14
obi-v01-n0048-ob-p0077	place_of_origin_original	Shwepyi-shin temple, Pyinsi town	place-shwepyi-shin-temple-pyinsi-town
obi-v01-n0048-ob-p0077	current_location_original	Mandalay Palace stone 24	place-mandalay-palace-stone-24
obi-v01-n0049-ob-p0080	place_of_origin_original	Myingun	place-myingun
obi-v01-n0049-ob-p0080	current_location_original	Mandalay Palace stone 598	place-mandalay-palace-stone-598
obi-v01-n0050-ob-p0081	place_of_origin_original	Dhammayazika stupa, Bagan	place-dhammayazika-stupa-bagan
obi-v01-n0050-ob-p0081	current_location_original	Mandalay Palace stone 37	place-mandalay-palace-stone-37
obi-v01-n0051-ob-p0082	place_of_origin_original	Thitmahti temple (IMP 844), Bagan	place-thitmahti-temple-imp-844-bagan
obi-v01-n0051-ob-p0082	current_location_original	Bagan Museum stone 148	place-bagan-museum-stone-148
obi-v01-n0052-ob-p0083	place_of_origin_original	Khemavara temple (IMP 367 ?), Bagan; Bagan Museum stone 50	place-khemavara-temple-imp-367-bagan-bagan-museum-stone-50
obi-v01-n0052-ob-p0083	current_location_original	Mandalay Mahamuni nos. 1 (MM 4), 249, and xx	place-mandalay-mahamuni-nos-1-mm-4-249-and-xx
obi-v01-n0053-ob-p0086	place_of_origin_original	?; copy from Bagan, S of Dhammayan temple; Mandalay Palace stone 348a	place-copy-from-bagan-s-of-dhammayan-temple-mandalay-palace-stone-348a
obi-v01-n0053-ob-p0086	current_location_original	Mandalay Mahamuni	place-mandalay-mahamuni
obi-v01-n0054-ob-p0086	place_of_origin_original	Mahabodhi temple, Bagan	place-mahabodhi-temple-bagan
obi-v01-n0054-ob-p0086	current_location_original	Bagan Museum stone 24	place-bagan-museum-stone-24
obi-v01-n0054-tx-p0089	place_of_origin_original	Sagyo-pyan temple, Sale	place-sagyo-pyan-temple-sale
obi-v01-n0054-tx-p0089	current_location_original	in situ	place-in-situ
obi-v01-n0055-ob-p0089	place_of_origin_original	Sagyo-pyan temple, Sale	place-sagyo-pyan-temple-sale
obi-v01-n0055-ob-p0089	current_location_original	in situ	place-in-situ
obi-v01-n0056-ob-p0090	place_of_origin_original	Kalein village, Meiktila	place-kalein-village-meiktila
obi-v01-n0056-ob-p0090	current_location_original	Mandalay Palace stone 82	place-mandalay-palace-stone-82
obi-v01-n0057-ob-p0091	place_of_origin_original	a group of temples W of Shwe chaung; Wetkyi-in, Bagan	place-a-group-of-temples-w-of-shwe-chaung-wetkyi-in-bagan
obi-v01-n0057-ob-p0091	current_location_original	New Bagan Museum stone 117	place-new-bagan-museum-stone-117
obi-v01-n0058-tx-p0093	place_of_origin_original	Pakhangyi	place-pakhangyi
obi-v01-n0058-tx-p0093	current_location_original	in situ	place-in-situ
obi-v01-n0059-ob-p0093	place_of_origin_original	Mahathi temple N of Min ga la zedi, Bagan	place-mahathi-temple-n-of-min-ga-la-zedi-bagan
obi-v01-n0059-ob-p0093	current_location_original	New Bagan Museum stone 49	place-new-bagan-museum-stone-49
obi-v01-n0060-ob-p0096	place_of_origin_original	Sheinmaka vill. near Wetlet, Shwe bo distr.	place-sheinmaka-vill-near-wetlet-shwe-bo-distr
obi-v01-n0060-ob-p0096	current_location_original	in situ	place-in-situ
obi-v01-n0061-ob-p0097	place_of_origin_original	Bagan	place-bagan
obi-v01-n0061-ob-p0097	current_location_original	Bagan Museum stone 82	place-bagan-museum-stone-82
obi-v01-n0062-ob-p0097	place_of_origin_original	Mt. Tuyin, Bagan	place-mt-tuyin-bagan
obi-v01-n0062-ob-p0097	current_location_original	in situ	place-in-situ
obi-v01-n0063-ob-p0099	place_of_origin_original	Mahabodhi, Bagan	place-mahabodhi-bagan
obi-v01-n0063-ob-p0099	current_location_original	Bagan Museum stone 16	place-bagan-museum-stone-16
obi-v01-n0064-ob-p0100	place_of_origin_original	Khuntha village near Hsalin-gyi, Lower Chindwin distr.	place-khuntha-village-near-hsalin-gyi-lower-chindwin-distr
obi-v01-n0064-ob-p0100	current_location_original	in situ	place-in-situ
obi-v01-n0065-ob-p0102	place_of_origin_original	Mahabodhi temple, Bagan	place-mahabodhi-temple-bagan
obi-v01-n0065-ob-p0102	current_location_original	New Bagan Museum stone 17	place-new-bagan-museum-stone-17
obi-v01-n0066-ob-p0105	place_of_origin_original	Pinsekkalanpa-paya, Yenan-kyaung	place-pinsekkalanpa-paya-yenan-kyaung
obi-v01-n0066-ob-p0105	current_location_original	in situ	place-in-situ
obi-v01-n0066-re-p0106	place_of_origin_original	Pinsekkalanpa-paya, Yenan-kyaung	place-pinsekkalanpa-paya-yenan-kyaung
obi-v01-n0066-re-p0106	current_location_original	in situ	place-in-situ
obi-v01-n0067-ob-p0106	place_of_origin_original	Shwethamin-gu, Pakhangyi	place-shwethamin-gu-pakhangyi
obi-v01-n0067-ob-p0106	current_location_original	in situ	place-in-situ
obi-v01-n0068-ob-p0107	place_of_origin_original	Bagan	place-bagan
obi-v01-n0068-ob-p0107	current_location_original	New Bagan Museum stone I (old PM number 84)	place-new-bagan-museum-stone-i-old-pm-number-84
obi-v01-n0069-ob-p0108	place_of_origin_original	temple no. 91 (old) E of Shwe-zedi, Myinkaba	place-temple-no-91-old-e-of-shwe-zedi-myinkaba
obi-v01-n0069-ob-p0108	current_location_original	New Bagan Museum stone 137a	place-new-bagan-museum-stone-137a
obi-v01-n0070-ob-p0111	place_of_origin_original	Dhammayan-gyi temple, Bagan; in situ	place-dhammayan-gyi-temple-bagan-in-situ
obi-v01-n0070-ob-p0111	current_location_original	Mandalay Mahamuni no. 43	place-mandalay-mahamuni-no-43
obi-v01-n0071-ob-p0112	place_of_origin_original	Bagan (perhaps Winidho complex)	place-bagan-perhaps-winidho-complex
obi-v01-n0071-ob-p0112	current_location_original	Bagan Museum stone 74	place-bagan-museum-stone-74
obi-v01-n0072-ob-p0116	place_of_origin_original	“from a monastery NE of Mingalazedi”, Bagan	place-from-a-monastery-ne-of-mingalazedi-bagan
obi-v01-n0072-ob-p0116	current_location_original	Bagan Museum stone 83 = New Bagan Museum stone G	place-bagan-museum-stone-83-new-bagan-museum-stone-g
obi-v01-n0073-ob-p0117	place_of_origin_original	?	place-unknown
obi-v01-n0073-ob-p0117	current_location_original	Mandalay Palace stone 296 and 422	place-mandalay-palace-stone-296-and-422
obi-v01-n0074-ob-p0118	place_of_origin_original	?	place-unknown
obi-v01-n0074-ob-p0118	current_location_original	from Amarapura, stone lost	place-from-amarapura-stone-lost
obi-v01-n0075-tx-p0118	place_of_origin_original	Pakhan-gyi	place-pakhan-gyi
obi-v01-n0075-tx-p0118	current_location_original	in situ	place-in-situ
obi-v01-n0076-ob-p0119	place_of_origin_original	Nga-man-aung temple, between Yelay village and Nyisu village, Sale	place-nga-man-aung-temple-between-yelay-village-and-nyisu-village-sale
obi-v01-n0076-ob-p0119	current_location_original	in situ	place-in-situ
obi-v01-n0077-ob-p0121	place_of_origin_original	Mintha-gu, Sale	place-mintha-gu-sale
obi-v01-n0077-ob-p0121	current_location_original	in situ	place-in-situ
obi-v01-n0078-ob-p0123	place_of_origin_original	Kyokya village, near Shwebo	place-kyokya-village-near-shwebo
