record_id	title_original	source_deposit	translation_status	notes
obi-v01-n0001-tx-p0001	မြစေတီဘုရားကျောက်စာ၊ မြန်မာ (ရာဇကုမာရကျောက်စာ)	zenodo_4321314	not_started	
obi-v01-n0001-tx-p0002	မြစေတီဘုရား ကျောက်စာ ပါဠိ (ရာဇကုမာရကျောက်စာ)	zenodo_4321314	not_started	
obi-v01-n0002-tx-p0004	မြစေတီကျောက်စာ မြန်မာ။ (ရာဇကုမာရကျောက်စာ)	zenodo_4321314	not_started	
obi-v01-n0002-tx-p0006	မြစေတီကျောက်စာ ပါဠိ။ (ရာဇကုမာရကျောက်စာ)	zenodo_4321314	not_started	
obi-v01-n0003-ob-p0008	နဘဲတောဘုရား ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0004-ob-p0011	ရွှေဂူကြီးဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0004-re-p0015	ရွှေဂူကြီးဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0005-ob-p0019	သက်စိုးတောင်နှီးဘုရားအနီးကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0006-ob-p0020	တုရင်ပုထိုးကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0006-re-p0021	တုရင်ပုထိုးကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0007-ob-p0022	ငနွယ်သင်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0008-ob-p0023	ပုဂံပြတိုက် ကျောက်တိုင်အမှတ် ၁၆၂-ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0008-re-p0024	ပုဂံပြတိုက် ကျောက်တိုင်အမှတ် ၁၆၂ -ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0009-ob-p0025	ပုဂံပြတိုက်ကျောက်တိုင်အမှတ် ၁၅၈ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0010-ob-p0026	မဟာထေရ် နာဂသမိန်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0011-ob-p0027	ငါမင်က္လည်သင်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0012-ob-p0029	အထောလတ်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0012-re-p0030	အထောလတ်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0013-ob-p0032	ငတရော်ရွာကြီးမှ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0014-ob-p0033	စည်သူမင်းကြီးကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0015-ob-p0034	စခီဖုနာ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0016-ob-p0035	မြတ်ကြီးစွာ ခဲတောင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0017-ob-p0037	ဖုန်းမြတ်သားပြည့်စုံကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0018-ob-p0038	နတ်မောက်မြို့နယ် တောင်ထောင့်ရွာမှကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0019-ob-p0040	သင်ကြီးငါယန်သင်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0020-ob-p0041	ငါပေါင်သင်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0021-ob-p0042	တိုင်းချွတ်ဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0022-ob-p0043	ဖုန်းသည်စင်ကြယ်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0023-ob-p0044	အိုနူသင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0024-ob-p0045	ငါပုံသင် လင်မယားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0025-ob-p0046	မန္တလေးနန်းတွင်းရုံ အမှတ် ၅၉၇ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0026-ob-p0046	သိခင် ဓမ္မဝိလာသ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0027-ob-p0048	ပုဂံပြတိုက် ကျောက်တိုင်အမှတ် ၁၂	zenodo_4321314	not_started	
obi-v01-n0028-ob-p0049	မင်းကြီး အသင်္ခယာ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0029-ob-p0050	အမတ်ကြီး သိင်္ဃသူကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0029-re-p0051	အမတ်ကြီး သိင်္ဃသူရ် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0030-ob-p0053	ထီးလိုင်မင်းသမီး ခင်ဉန် အိငြိမ်းသင်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0031-ob-p0054	ပင်းတလဲ ပန်းတော ရွှေကျောင်း ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0032-ob-p0055	စောမွန်သင်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0033-ob-p0056	သင်ကြီး ငါနိုင်သင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0034-re-p0056	သခင် ငပွဲသောင်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0035-ob-p0057	စလေမြို့နယ် စက်တော်ရာဘုရားရုံ အမှတ် ၂ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0036-ob-p0058	ပိတကတ်လှူသောကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0037-re-p0059	ပုဂံပြတိုက် အမှတ် ၁၅၈ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0038-ob-p0060	သူဌေးမုခ်ဂူဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0038-re-p0061	သူဌေးမုခ်ဂူဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0039-ob-p0062	ပုဂံပြတိုက် အမှတ် ၅၂ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0039-re-p0063	ပုဂံပြတိုက် အမှတ် ၅၂ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0040-ob-p0064	ငါဖုန်တရားနိုင်သော ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0041-ob-p0065	ဓမ္မရာဇိကဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0041-re-p0067	ဓမ္မရာဇိကဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0042-ob-p0069	မန္တလေး နန်းတွင်းရုံအမှတ် ၂၂ ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0043-ob-p0070	အိုက္လောသင်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0044-ob-p0071	သင်ကြီးညောင်ဉပ်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0044-re-p0072	သင်ကြီးညောင်ဉပ်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0045-ob-p0073	သံပျင်ရင်ကောင်ဘုရားကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0046-ob-p0074	ရမည်းသင်းမှကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0047-ob-p0075	စိုးမင်းပျံချီသမီးကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0048-ob-p0077	သင်ငါနှစ်လို့သင်ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0048-re-p0078	သင်ငါနှစ်လို့သင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0049-ob-p0080	ကလန် ငါသာသင် ကျောက်စာ	zenodo_4321314	not_started	
obi-v01-n0050-ob-p0081	မောင်းမစောခင်မိငယ်ကျောက်စာ	zenodo_4321314	not_started	
